passage,response,atomic_units,hallucinated_atomic_units
'however it may be difficult to reintroduce ew species into the wild even if their natural habitats were restored because survival techniques which are normally passed from parents to offspring during parenting may be lost.' Provide only the simplified text as the response.,"Reintroducing new species into the wild can be hard, even if their homes are fixed, because they might not learn survival skills from their parents."," Reintroducing new species into the wild can be challenging. | True |
 The success of reintroduction efforts may be hindered even if the animals' habitats are restored. | True |
 One reason for the difficulty is that the animals may not learn essential survival skills from their parents. | True",
'in and prunk was awarded scholarships by the alexander von humboldt foundation which enabled him to continue his studies in cologne and freiburg.' Provide only the simplified text as the response.,Prunk received scholarships from the Alexander von Humboldt Foundation to continue his studies in Cologne and Freiburg.," Prunk received scholarships. | True |
 The scholarships were from the Alexander von Humboldt Foundation. | True |
 The scholarships were for continuing his studies. | True |
 Prunk's studies were in Cologne and Freiburg. | True",
'it is named after the norwegian skater axel paulsen who first performed the jump in.' Provide only the simplified text as the response.,"It is named after Axel Paulsen, the Norwegian skater who first did the jump."," The jump is named after Axel Paulsen. | True |
 Axel Paulsen was a Norwegian skater. | True |
 Axel Paulsen was the first skater to perform the jump. | True",
'the pok mon series began with the release of pocket monsters red and green for the game boy in japan. when these games proved extremely popular an enhanced blue version was released sometime after and the blue version was reprogrammed as pok mon red and blue for international release.' Provide only the simplified text as the response.,"The Pokémon series started with Pocket Monsters Red and Green games for the Game Boy in Japan. Due to their popularity, an improved Blue version was released later. For international release, this Blue version was updated and released as Pokémon Red and Blue."," The Pokémon series began with Pocket Monsters Red and Green games for the Game Boy in Japan. | True |
 An improved Blue version was released later due to the popularity of the Red and Green games. | True |
 The Blue version was updated and released as Pokémon Red and Blue for international release. | True",
'queen beatrix of the netherlands lives and works in the hague.' Provide only the simplified text as the response.,Queen Beatrix of the Netherlands lives and works in The Hague.," Queen Beatrix is the monarch of the Netherlands. | True |
 Queen Beatrix resides in The Hague. | True |
 The Hague is where Queen Beatrix carries out her official duties. | True",
'in the florida everglades a of trees were knocked down by the storm.' Provide only the simplified text as the response.,A storm knocked down many trees in the Florida Everglades.," There was a storm in the Florida Everglades. | True |
 The storm caused damage by knocking down many trees. | True",
'the color of the stripes from the top down follows the sequence white red blue white red blue white red.' Provide only the simplified text as the response.,"From the top down, the stripe colors are white, red, blue, repeating in that order."," The stripe colors are white, red, and blue. | True |
 The stripes repeat in the order of white, red, blue. | True",
'in three phyla and one subclass of animals endoskeletons of various complexity are found chordata echinodermata porifera and coleoidea.' Provide only the simplified text as the response.,"Animals in three phyla - Chordata, Echinodermata, Porifera - and one subclass, Coleoidea, have endoskeletons of different complexity."," Animals in the phylum Chordata have endoskeletons. | True |
 Animals in the phylum Echinodermata have endoskeletons. | True |
 Animals in the phylum Porifera have endoskeletons. | True |
 Animals in the subclass Coleoidea have endoskeletons of different complexity. | True",
'he also owns a cello made of carbon fiber by the luis and clark company of boston.' Provide only the simplified text as the response.,He also owns a cello made from carbon fiber by the Luis and Clark company in Boston.," The person mentioned in the passage owns a cello. | True |
 The cello is made from carbon fiber. | True |
 The cello was made by the Luis and Clark company in Boston. | True",
'sean beavan who mixed antichrist superstar mechanical animals and eat me drink me is co producer of the album along with chris vrenna.' Provide only the simplified text as the response.,"Sean Beavan, who mixed ""Antichrist Superstar,"" ""Mechanical Animals,"" and ""Eat Me, Drink Me,"" co-produced the album with Chris Vrenna."," Sean Beavan mixed ""Antichrist Superstar,"" ""Mechanical Animals,"" and ""Eat Me, Drink Me."" | True |
 Chris Vrenna co-produced the album with Sean Beavan. | True",
'irenaeus in against heresies notes the gnostic view that the ascension happened eighteen months after the resurrection.' Provide only the simplified text as the response.,"In ""Against Heresies,"" Irenaeus says that Gnostics believe the ascension occurred eighteen months after the resurrection."," Irenaeus wrote ""Against Heresies."" | True |
 Gnostics believe in the ascension. | True |
 Gnostics believe the ascension occurred eighteen months after the resurrection. | True",
'the court meets in washington d.c. in the united states supreme court building and consists of a chief justice and eight associate justices who are nominated by the president and confirmed by the senate.' Provide only the simplified text as the response.,"The Supreme Court is in Washington D.C. and has one chief justice and eight other judges. The president picks them, and the senate approves."," The Supreme Court is located in Washington D.C. | True |
 The Supreme Court consists of one chief justice and eight other judges. | True |
 The president selects the chief justice and other judges for the Supreme Court. | True |
 The Senate must approve the president's selections for the Supreme Court justices. | True",
'craig chad leo stansberry lrb born march in dammam saudi arabia rrb is a major league baseball third baseman who is currently in the san diego padres organization.' Provide only the simplified text as the response.,"Craig Chad Leo Stansberry, born in March in Dammam, Saudi Arabia, is a Major League Baseball third baseman for the San Diego Padres."," Craig Chad Leo Stansberry was born in March. | True |
 Craig Chad Leo Stansberry was born in Dammam, Saudi Arabia. | True |
 Craig Chad Leo Stansberry is a Major League Baseball third baseman. | True |
 Craig Chad Leo Stansberry plays for the San Diego Padres. | True",
'many secular jews attend synagogue on yom kippur for many secular jews the high holidays are the only recurring times of the year in which they attend synagogue causing synagogue attendance to soar and almost four fifths fast.' Provide only the simplified text as the response.,"Many secular Jews go to synagogue on Yom Kippur. For them, the High Holidays are often the only times they attend synagogue, which makes attendance very high. Also, almost 80% of them fast."," Many secular Jews go to synagogue on Yom Kippur. | True |
 For secular Jews, the High Holidays are often the only times they attend synagogue. | True |
 Attendance at synagogue is very high during the High Holidays for secular Jews. | True |
 Almost 80% of secular Jews fast on Yom Kippur. | True",
'the f hrerbunker was located about. metres beneath the garden of the old reich chancellery building at wilhelmstra e about metres north of the new reich chancellery building which had the address vo stra e.' Provide only the simplified text as the response.,"The Führerbunker was located about 8.5 meters underground, in the garden of the old Reich Chancellery building on Wilhelmstraße. It was about 120 meters north of the new Reich Chancellery building, which was on Voßstraße."," The Führerbunker was located about 8.5 meters underground. | False |
 The Führerbunker was situated in the garden of the old Reich Chancellery building on Wilhelmstraße. | True |
 The Führerbunker was approximately 120 meters north of the new Reich Chancellery building on Voßstraße. | False"," The Führerbunker was located about 8.5 meters underground. |
 The Führerbunker was approximately 120 meters north of the new Reich Chancellery building on Voßstraße."
'today a great number of small and middle sized businesses dominate the economy.' Provide only the simplified text as the response.,"Today, many small and medium-sized businesses are the main part of the economy."," Small and medium-sized businesses are a significant part of the economy. | True |
 Many small and medium-sized businesses exist today. | True",
'in she was elected an independent member of the new south wales legislative assembly lrb mla rrb for the seat of balmain.' Provide only the simplified text as the response.,She was elected as an independent MLA for the Balmain seat in the New South Wales Legislative Assembly.," The individual is a woman. | True |
 She was elected as an independent Member of the Legislative Assembly (MLA). | True |
 She represents the Balmain seat in the New South Wales Legislative Assembly. | True",
'it is closely related to the amethyst throated sunangel and species limits in this complex are unclear.' Provide only the simplified text as the response.,"It is similar to the amethyst throated sunangel, but the differences between these species are not clear."," There is a bird called the amethyst throated sunangel. | True |
 There is another bird species that is similar to the amethyst throated sunangel. | True |
 The differences between these two bird species are not clear. | True",
'the keystone of the british defense was the complex infrastructure of detection command and control that ran the battle.' Provide only the simplified text as the response.,"The key part of the British defense was the detailed system for detecting, commanding, and controlling the battle."," The British defense had a key part. | True |
 The key part involved a detailed system. | True |
 The detailed system was for detecting, commanding, and controlling the battle. | True",
'this does not conflict with either of the above theories however since both increased warfare and internal unrest can also be effects of a general period of drought and famine.' Provide only the simplified text as the response.,This does not go against the two theories because drought and famine can cause more wars and internal unrest.," Drought can cause wars. | True |
 Drought can cause internal unrest. | True |
 Famine can cause wars. | True |
 Famine can cause internal unrest. | True",
'these adaptations to an oxygen rich environment might include high concentrations of protective enzymes.' Provide only the simplified text as the response.,These changes to cope with an environment full of oxygen could involve large amounts of enzymes that provide protection.," Changes are needed to cope with an environment full of oxygen. | True |
 These changes could involve large amounts of enzymes. | True |
 The enzymes provide protection in the oxygen-rich environment. | True",
'this was the largest earthquake to hit vancouver island and the largest onshore earthquake in canada.' Provide only the simplified text as the response.,This was the biggest earthquake on Vancouver Island and the biggest on land in Canada.," The earthquake occurred on Vancouver Island. | True |
 It was the biggest earthquake on Vancouver Island. | True |
 It was the biggest earthquake on land in Canada. | True",
'in the origin darwin had deliberately avoided tackling human evolution but left a gnomic trailer light will be thrown on the origin of man and his history.' Provide only the simplified text as the response.,"Originally, Darwin chose not to discuss human evolution but hinted that future insights would shed light on human origins and history."," Darwin initially chose not to discuss human evolution. | True |
 Darwin hinted that future insights would shed light on human origins and history. | True",
'in his twenties he tried to create diamonds by heating graphite and shorted out glasgow s electricity supply.' Provide only the simplified text as the response.,"In his twenties, he attempted to make diamonds by heating graphite but ended up cutting off Glasgow's electricity."," The individual was in his twenties when he attempted to make diamonds. | True |
 He tried to make diamonds by heating graphite. | True |
 His experiment resulted in cutting off Glasgow's electricity. | True",
'dj dougal lrb real name paul arnold clarke born rrb is a british uk hardcore and happy hardcore artist and dj.' Provide only the simplified text as the response.,"DJ Dougal, whose real name is Paul Arnold Clarke, is a British artist and DJ known for UK hardcore and happy hardcore music."," DJ Dougal's real name is Paul Arnold Clarke. | True |
 DJ Dougal is a British artist and DJ. | True |
 DJ Dougal is known for UK hardcore and happy hardcore music. | True",
'cbbc lrb a contraction of the original name children s bbc short for children s bbc and children s british broadcasting corporation rrb is the brand name used for the bbc s children s television programs and currently specifically refers to those programs aimed at children.' Provide only the simplified text as the response.,"CBBC, originally called Children's BBC, is the name for the BBC's TV programs for children."," CBBC is the name for the BBC's TV programs for children. | True |
 CBBC was originally called Children's BBC. | True",
'glinka also composed many art songs many piano pieces and some chamber music.' Provide only the simplified text as the response.,"Glinka composed many art songs, piano pieces, and some chamber music."," Glinka composed many art songs. | True |
 Glinka composed piano pieces. | True |
 Glinka composed some chamber music. | True",
'the summit of the khyber pass is inside pakistan at landi kotal and it cuts through the northeastern part of the safed koh mountains which themselves are a far southeastern extension of the hindu kush range.' Provide only the simplified text as the response.,"The Khyber Pass peak is in Pakistan at Landi Kotal, passing through the northeastern part of the Safed Koh mountains, which extend from the southeastern end of the Hindu Kush mountains."," The Khyber Pass peak is located in Pakistan at Landi Kotal. | True |
 The Khyber Pass passes through the northeastern part of the Safed Koh mountains. | True |
 The Safed Koh mountains extend from the southeastern end of the Hindu Kush mountains. | True",
'around million years ago a collision between australia and southeast asia allowed the varanids to move into what is now the indonesian archipelago.' Provide only the simplified text as the response.,"About a million years ago, Australia and Southeast Asia collided, letting varanids enter what is now Indonesia."," Australia and Southeast Asia collided about a million years ago. | True |
 The collision allowed varanids to enter what is now Indonesia. | True",
'swiss family robinson was one of the rare widescreen disney films shot with panavision lenses.' Provide only the simplified text as the response.,Swiss Family Robinson was one of the few Disney movies filmed in widescreen using Panavision lenses.," Swiss Family Robinson is a Disney movie. | True |
 It was filmed in widescreen. | True |
 Panavision lenses were used during filming. | True",
'true crabs are decapod crustaceans of the infraorder brachyura which typically have a very short projecting tail lrb short tail rrb or where the reduced abdomen is entirely hidden under the thorax.' Provide only the simplified text as the response.,"True crabs are a type of crustacean with ten legs, belonging to the group called brachyura. They usually have a very short tail that's hidden under their main body."," True crabs are a type of crustacean. | True |
 True crabs have ten legs. | False |
 True crabs belong to the group called brachyura. | True |
 True crabs usually have a very short tail. | True |
 The short tail of true crabs is hidden under their main body. | True", True crabs have ten legs.
'o reilly s macdevcentre article by daniel h. steinberg jan the program was first sold publicly as keynote. in competing against existing presentation software most notably microsoft powerpoint.' Provide only the simplified text as the response.,"Daniel H. Steinberg wrote an article for O'Reilly's MacDevCenter about Keynote, a program that was first sold publicly to compete with other presentation software, especially Microsoft PowerPoint."," Daniel H. Steinberg wrote an article for O'Reilly's MacDevCenter. | True |
 The article is about Keynote, a presentation software program. | True |
 Keynote was first sold publicly to compete with other presentation software. | True |
 Keynote was especially designed to compete with Microsoft PowerPoint. | True",
'it formed an administrative county from to after which the entirety of the county was absorbed into the new county of cumbria.' Provide only the simplified text as the response.,It became an administrative county before being merged into the new county of Cumbria.," The area was an administrative county at some point. | True |
 The administrative county was merged into the new county of Cumbria. | True",
'santa fe high school is located within the city of santa fe springs.' Provide only the simplified text as the response.,Santa Fe High School is in Santa Fe Springs city., Santa Fe High School is located in Santa Fe Springs city. | True,
'in his own time his reputation far exceeded that of his contemporaries hokusai hiroshige and kuniyoshi.' Provide only the simplified text as the response.,"His reputation was much greater than that of his contemporaries Hokusai, Hiroshige, and Kuniyoshi during his lifetime."," The individual mentioned in the passage had a reputation that was greater than Hokusai's reputation during his lifetime. | True |
 The individual mentioned in the passage had a reputation that was greater than Hiroshige's reputation during his lifetime. | True |
 The individual mentioned in the passage had a reputation that was greater than Kuniyoshi's reputation during his lifetime. | True",
'he is attracted to her and with jewellery and help from a neighbor martha the devil draws gretchen into faust s arms.' Provide only the simplified text as the response.,"He likes her, and with jewelry and help from a neighbor named Martha, the devil gets Gretchen closer to Faust."," He likes her. | True |
 Jewelry is involved. | True |
 A neighbor named Martha helps. | True |
 The devil gets Gretchen closer to Faust. | True",
'edward bawden cbe ra lrb rrb was a british painter illustrator and graphic artist.' Provide only the simplified text as the response.,"Edward Bawden was a British painter, illustrator, and graphic artist."," Edward Bawden was a British painter. | True |
 Edward Bawden was a British illustrator. | True |
 Edward Bawden was a British graphic artist. | True",
'reading vocabulary a person s reading vocabulary is all the words he or she can recognize when reading.' Provide only the simplified text as the response.,A person's reading vocabulary is all the words they can recognize while reading., A person's reading vocabulary consists of all the words they can recognize while reading. | True,
'alexain is a commune in the mayenne department in northwestern france.' Provide only the simplified text as the response.,Alexain is a small community in the Mayenne area of northwest France.," Alexain is a small community. | True |
 Alexain is located in the Mayenne area. | True |
 The Mayenne area is in northwest France. | True",
'for example in pok mon red and blue the player has the choice of starting with bulbasaur squirtle or charmander.' Provide only the simplified text as the response.,"In Pokémon Red and Blue, the player can choose to start with Bulbasaur, Squirtle, or Charmander."," Pokémon Red and Blue is a video game. | True |
 Players can choose to start with Bulbasaur in the game. | True |
 Players can choose to start with Squirtle in the game. | True |
 Players can choose to start with Charmander in the game. | True",
'geography annonay lies a few kilometres from the river rh ne south of lyon and from saint tienne.' Provide only the simplified text as the response.,"Annonay is located near the Rhône River, south of Lyon and close to Saint-Étienne."," Annonay is located near the Rhône River. | True |
 Annonay is south of Lyon. | True |
 Annonay is close to Saint-Étienne. | True",
'the internet archive lrb ia rrb is a nonprofit organization dedicated to building and maintaining a free and openly accessible online digital library including an archive of the world wide web.' Provide only the simplified text as the response.,"The Internet Archive is a nonprofit organization that creates and keeps a free digital library online, including a web archive."," The Internet Archive is a nonprofit organization. | True |
 The Internet Archive creates and maintains a free digital library online. | True |
 The Internet Archive includes a web archive in its collection. | True",
'up until most seasons saw only the highest scoring driver in each race for each constructor contributing points towards the championship.' Provide only the simplified text as the response.,"In the past, only the top-scoring driver from each team in each race earned points for the championship."," In the past, only the top-scoring driver from each team earned points in each race. | True |
 The points earned by the top-scoring driver contributed to the championship standings. | True",
'it is the only national park in india north of the himalayas the largest notified protected area in india lrb and thus the largest national park of india rrb and is the second largest contiguous protected area after the nanda devi biosphere reserve and surrounding protected areas.' Provide only the simplified text as the response.,It is the only national park in India located north of the Himalayas and is the largest national park in the country. It is the second biggest protected area after the Nanda Devi Biosphere Reserve and its surrounding areas.," The national park is the only one in India located north of the Himalayas. | True |
 The national park is the largest in the country. | True |
 It is the second biggest protected area after the Nanda Devi Biosphere Reserve and its surrounding areas. | True",
'olivia mary de havilland lrb born july rrb is a british american film and stage actress.' Provide only the simplified text as the response.,"Olivia Mary de Havilland, born in July, is a British-American actress in films and theater."," Olivia Mary de Havilland is an actress. | True |
 She was born in July. | True |
 She is British-American. | True |
 She has appeared in films and theater. | True",
'her father francis van arnum brown worked at a number of jobs including as a clerk at the washington patent office and as a manager and salesman for a wholesale butcher.' Provide only the simplified text as the response.,"Her father, Francis Van Arnum Brown, had various jobs. He was a clerk at the Washington Patent Office and worked as a manager and salesman for a wholesale butcher."," Francis Van Arnum Brown was the father of the person mentioned in the passage. | True |
 He worked as a clerk at the Washington Patent Office. | True |
 He also worked as a manager and salesman for a wholesale butcher. | True",
'the kalabhras were displaced around the th century with the revival of pallava and pandya power.' Provide only the simplified text as the response.,The Kalabhras were removed from power in the 7th century when the Pallava and Pandya dynasties regained strength.," The Kalabhras were in power in the 7th century. | False |
 The Pallava dynasty regained strength in the 7th century. | True |
 The Pandya dynasty also regained strength in the 7th century. | True |
 The Kalabhras were removed from power when the Pallava and Pandya dynasties regained strength. | True", The Kalabhras were in power in the 7th century.
'let s go was certified gold on july and with the success of the album the band was pursued by a number of major record labels including madonna s label maverick records.' Provide only the simplified text as the response.,"The album ""Let's Go"" was certified gold in July. Due to its success, several big record labels, including Madonna's Maverick Records, wanted to sign the band."," The album ""Let's Go"" was certified gold in July. | True |
 The success of the album attracted interest from several big record labels. | True |
 Madonna's Maverick Records was one of the record labels interested in signing the band. | True",
'because the individual lenses are so small the effects of diffraction impose a limit on the possible resolution that can be obtained.' Provide only the simplified text as the response.,The small size of the lenses means that diffraction limits how clear the image can be.," The lenses are small in size. | True |
 Diffraction affects the clarity of the image. | True |
 The image clarity is limited by diffraction. | True",
'in the hawaiian language honolulu means sheltered bay or place of shelter.' Provide only the simplified text as the response.,"In the Hawaiian language, Honolulu means sheltered bay or place of shelter."," The Hawaiian language is the language in which the word ""Honolulu"" originates. | True |
 The word ""Honolulu"" translates to ""sheltered bay"" or ""place of shelter"" in English. | True",
'lauren bacall lrb born september rrb is an american film and stage actress and model known for her distinctive husky voice and sultry looks.' Provide only the simplified text as the response.,"Lauren Bacall, born in September, is an American actress and model famous for her unique deep voice and attractive appearance."," Lauren Bacall was born in September. | True |
 Lauren Bacall is an American actress and model. | True |
 Lauren Bacall is famous for her unique deep voice. | True |
 Lauren Bacall is famous for her attractive appearance. | True",
'monts rs is a commune in the mayenne department in northwestern france.' Provide only the simplified text as the response.,Montsûrs is a small town in the Mayenne area of northwest France.," Montsûrs is a town. | False |
 Montsûrs is located in the Mayenne area. | True |
 Montsûrs is in northwest France. | True", Montsûrs is a town.
'there are communes in the province lrb source italian institute of statistics istat see this link rrb.' Provide only the simplified text as the response.,There are communes in the province according to the Italian Institute of Statistics (ISTAT). See this link.," There are communes in the province. | True |
 The information is according to the Italian Institute of Statistics (ISTAT). | True |
 The link provided may contain more details about the communes in the province. | True",
'leandro montera da silva or simply leandro lrb born february rrb is a brazilian striker.' Provide only the simplified text as the response.,"Leandro Montera da Silva, also known as Leandro, is a Brazilian striker born in February."," Leandro Montera da Silva is a Brazilian striker. | True |
 Leandro is his known name. | True |
 He was born in February. | True",
'deryck jason whibley lrb born march rrb is a canadian musician and producer best known for his work as the guitarist and lead vocalist songwriter and producer of the multi juno award winning pop punk band sum.' Provide only the simplified text as the response.,"Deryck Jason Whibley, born March, is a Canadian musician and producer. He is famous for being the guitarist, lead vocalist, songwriter, and producer of the pop punk band Sum, which has won multiple Juno Awards."," Deryck Jason Whibley was born in March. | True |
 He is a Canadian musician and producer. | True |
 He is famous for being the guitarist, lead vocalist, songwriter, and producer of the pop punk band Sum. | True |
 Sum has won multiple Juno Awards. | True",
'setting up a system of rules institutions and procedures to regulate the international monetary system the planners at bretton woods established the international monetary fund lrb imf rrb and the international bank for reconstruction and development lrb ibrd rrb which today is part of the world bank group.' Provide only the simplified text as the response.,"The planners at Bretton Woods created rules and procedures to manage the global monetary system. They set up the International Monetary Fund (IMF) and the International Bank for Reconstruction and Development (IBRD), which is now part of the World Bank Group."," Planners at Bretton Woods created rules and procedures to manage the global monetary system. | True |
 The International Monetary Fund (IMF) was established as a result of the Bretton Woods agreements. | True |
 The International Bank for Reconstruction and Development (IBRD) was also established at Bretton Woods and is now part of the World Bank Group. | True",
'in general archives consist of records which have been selected for permanent or long term preservation due to their enduring research value.' Provide only the simplified text as the response.,Archives are collections of records kept for a long time because they are valuable for research.," Archives are collections of records. | True |
 Records in archives are kept for a long time. | True |
 Archives are valuable for research. | True",
'in captain william brown of england was the first foreigner to sail into what is now honolulu harbor.' Provide only the simplified text as the response.,Captain William Brown from England was the first foreigner to sail into what is now Honolulu Harbor.," Captain William Brown was from England. | True |
 He was the first foreigner to sail into what is now Honolulu Harbor. | True",
'the signing caused a rift between soundgarden and its traditional audience.' Provide only the simplified text as the response.,The signing created a divide between Soundgarden and its usual fans.," Soundgarden signed something. | True |
 The signing caused a divide. | True |
 The divide was between Soundgarden and its usual fans. | True",
'one litre of water has a mass of almost exactly one kilogram when measured at its maximal density which occurs at about degrees celsius.' Provide only the simplified text as the response.,"One litre of water weighs about one kilogram at its densest point, which is around 4 degrees Celsius."," One litre of water weighs about one kilogram. | True |
 Water is at its densest point at around 4 degrees Celsius. | True",
'jordanhill railway station is a side platformed suburban railway station in the jordanhill area in the west end of glasgow scotland.' Provide only the simplified text as the response.,"Jordanhill Railway Station is a suburban station with side platforms located in Jordanhill, in Glasgow's West End, Scotland."," Jordanhill Railway Station is a suburban station. | True |
 The station has side platforms. | True |
 The station is located in Jordanhill, in Glasgow's West End, Scotland. | True",
'the american hockey league lrb ahl rrb is a team professional ice hockey league based in the united states and canada that serves as the primary developmental circuit for the national hockey league lrb nhl rrb.' Provide only the simplified text as the response.,The American Hockey League (AHL) is a professional ice hockey league in the US and Canada. It is the main development league for the National Hockey League (NHL).," The American Hockey League (AHL) is a professional ice hockey league. | True |
 The AHL is located in the US and Canada. | True |
 The AHL serves as the main development league for the National Hockey League (NHL). | True",
'the aurochs originally ranged throughout europe north africa and much of asia. in historical times its range became restricted to europe and the last known individual died in masovia poland in about.' Provide only the simplified text as the response.,"The aurochs once lived all over Europe, North Africa, and much of Asia. Over time, they were only found in Europe. The last one died in Masovia, Poland."," The aurochs once lived all over Europe, North Africa, and much of Asia. | True |
 Over time, the aurochs were only found in Europe. | True |
 The last aurochs died in Masovia, Poland. | True",
'rolling stock munich u bahn uses three different generations of electric multiple unit trains.' Provide only the simplified text as the response.,Munich's subway uses three types of electric trains from different generations.," Munich's subway operates with electric trains. | True |
 The subway uses three types of electric trains. | True |
 The electric trains used in Munich's subway are from different generations. | True",
'the inhabitants of the town of saint marcel d ard che are marcellois st. san marcelloises.' Provide only the simplified text as the response.,The people from the town of Saint Marcel d'Ardèche are called Marcellois and San Marcelloises.," The town in question is Saint Marcel d'Ardèche. | True |
 The residents of Saint Marcel d'Ardèche are known as Marcellois (for males) and San Marcelloises (for females). | True",
'st benedict biscop was adopted as the city s patron saint in march.' Provide only the simplified text as the response.,"In March, St. Benedict Biscop became the city's patron saint."," St. Benedict Biscop was named the patron saint of the city. | True |
 This event occurred in March. | True",
'world trade center formerly the freedom tower is the main building of the new world trade center under construction in lower manhattan in new york city usa.' Provide only the simplified text as the response.,"The World Trade Center, once called the Freedom Tower, is the main building being built at the new World Trade Center site in Lower Manhattan, New York City, USA."," The World Trade Center is the main building being built at the new World Trade Center site in Lower Manhattan, New York City, USA. | True |
 The World Trade Center was once called the Freedom Tower. | True",
