passage,response,atomic_units,hallucinated_atomic_units
however it may be difficult to reintroduce ew species into the wild even if their natural habitats were restored because survival techniques which are normally passed from parents to offspring during parenting may be lost.,"Even if natural habitats are restored, it can be hard to reintroduce species into the wild if they've lost the survival skills passed down from their parents. "," Natural habitats can be restored. | True |
 It can be difficult to reintroduce species into the wild. | True |
 Species may have lost survival skills passed down from their parents. | True",
in and prunk was awarded scholarships by the alexander von humboldt foundation which enabled him to continue his studies in cologne and freiburg.,"Prunk received scholarships from the Alexander von Humboldt Foundation, allowing him to study in Cologne and Freiburg. "," Prunk received scholarships. | True |
 The scholarships were from the Alexander von Humboldt Foundation. | True |
 The scholarships enabled Prunk to study in Cologne. | True |
 The scholarships also enabled Prunk to study in Freiburg. | True",
it is named after the norwegian skater axel paulsen who first performed the jump in.,"'named after Norwegian skater Axel Paulsen, who first performed the jump'"," The jump is named after Norwegian skater Axel Paulsen. | True |
 Axel Paulsen was the first skater to perform the jump. | True",
the pok mon series began with the release of pocket monsters red and green for the game boy in japan. when these games proved extremely popular an enhanced blue version was released sometime after and the blue version was reprogrammed as pok mon red and blue for international release.,"The Pokémon series started with the release of Pocket Monsters Red and Green for the Game Boy in Japan. After their success, an enhanced Blue version was released, which was later reprogrammed as Pokémon Red and Blue for international release. "," The Pokémon series began with the release of Pocket Monsters Red and Green for the Game Boy in Japan. | True |
 An enhanced Blue version was released after the success of Red and Green. | True |
 The Blue version was later reprogrammed and released internationally as Pokémon Red and Blue. | True",
queen beatrix of the netherlands lives and works in the hague.,Queen Beatrix works and lives in The Hague. ," Queen Beatrix is a person. | True |
 Queen Beatrix works in The Hague. | True |
 Queen Beatrix lives in The Hague. | True",
in the florida everglades a of trees were knocked down by the storm.,A lot of trees were knocked down by the storm in the Florida Everglades. ," There was a storm in the Florida Everglades. | True |
 The storm caused a lot of trees to be knocked down. | True",
the color of the stripes from the top down follows the sequence white red blue white red blue white red.,"White, red, blue, repeat."," The passage includes the colors white, red, and blue. | True |
 The colors are repeated in a pattern. | True",
in three phyla and one subclass of animals endoskeletons of various complexity are found chordata echinodermata porifera and coleoidea.,"Animals in three phyla and one subclass have endoskeletons of different complexities. These include chordates, echinoderms, poriferans, and coleoids."," Animals in three phyla have endoskeletons of different complexities. | True |
 The phyla with animals having endoskeletons are chordates, echinoderms, and poriferans. | False |
 Animals in the subclass coleoids also have endoskeletons. | False"," The phyla with animals having endoskeletons are chordates, echinoderms, and poriferans. |
 Animals in the subclass coleoids also have endoskeletons."
he also owns a cello made of carbon fiber by the luis and clark company of boston.,He owns a carbon fiber cello by Luis and Clark of Boston. ," The owner possesses a cello. | True |
 The cello is made of carbon fiber. | True |
 The cello was crafted by Luis and Clark of Boston. | True",
sean beavan who mixed antichrist superstar mechanical animals and eat me drink me is co producer of the album along with chris vrenna.,"Sean Beavan, who worked on albums such as Antichrist Superstar, Mechanical Animals, and Eat Me, Drink Me, co-produced the album with Chris Vrenna. "," Sean Beavan worked on albums such as Antichrist Superstar, Mechanical Animals, and Eat Me, Drink Me. | True |
 Sean Beavan co-produced an album with Chris Vrenna. | True",
irenaeus in against heresies notes the gnostic view that the ascension happened eighteen months after the resurrection.,"Irenaeus notes that, according to Gnostics, the ascension took place 18 months after the resurrection. "," Irenaeus made a note about the Gnostics' belief regarding the timing of the ascension. | True |
 According to the Gnostics, the ascension occurred 18 months after the resurrection. | True",
the court meets in washington d.c. in the united states supreme court building and consists of a chief justice and eight associate justices who are nominated by the president and confirmed by the senate.,"The supreme court meets in washington d.c. and has a chief justice and eight associate justices. The president nominates them, and the senate confirms them. "," The Supreme Court meets in Washington D.C. | True |
 The Supreme Court consists of a Chief Justice and eight Associate Justices. | True |
 The President nominates the Chief Justice and Associate Justices. | True |
 The Senate confirms the nominations of the Chief Justice and Associate Justices. | True",
craig chad leo stansberry lrb born march in dammam saudi arabia rrb is a major league baseball third baseman who is currently in the san diego padres organization.,"'Craig Chad Leo Stansberry, born in March in Dammam, Saudi Arabia, is a third baseman for the San Diego Padres organization.'"," Craig Chad Leo Stansberry was born in March. | True |
 Craig Chad Leo Stansberry was born in Dammam, Saudi Arabia. | True |
 Craig Chad Leo Stansberry is a third baseman. | True |
 Craig Chad Leo Stansberry is part of the San Diego Padres organization. | True",
many secular jews attend synagogue on yom kippur for many secular jews the high holidays are the only recurring times of the year in which they attend synagogue causing synagogue attendance to soar and almost four fifths fast.,"Many secular Jews go to synagogue on Yom Kippur. This is the only time of the year they attend. This causes attendance to increase significantly, with almost 80% fasting. "," Many secular Jews go to synagogue on Yom Kippur. | True |
 Yom Kippur is the only time of the year they attend synagogue. | False |
 Attendance at synagogue increases significantly on Yom Kippur. | True |
 Almost 80% of those attending fast on Yom Kippur. | True", Yom Kippur is the only time of the year they attend synagogue.
the f hrerbunker was located about. metres beneath the garden of the old reich chancellery building at wilhelmstra e about metres north of the new reich chancellery building which had the address vo stra e.,"The Führerbunker was situated beneath the garden of the old Reich Chancellery, about meters north of the new building, at Wilhelmstraße."," The Führerbunker was located beneath the garden of the old Reich Chancellery. | True |
 The Führerbunker was situated about meters north of the new building at Wilhelmstraße. | False", The Führerbunker was situated about meters north of the new building at Wilhelmstraße.
today a great number of small and middle sized businesses dominate the economy.,Small and medium-sized businesses dominate the economy today. ," Small and medium-sized businesses dominate the economy. | True |
 This dominance is present in today's economy. | True",
in she was elected an independent member of the new south wales legislative assembly lrb mla rrb for the seat of balmain.,She was elected to the New South Wales Legislative Assembly as an independent member for the seat of Balmain. ," The person mentioned in the passage is a woman. | True |
 She was elected to the New South Wales Legislative Assembly. | True |
 She was elected as an independent member. | True |
 She represents the seat of Balmain in the Legislative Assembly. | True",
it is closely related to the amethyst throated sunangel and species limits in this complex are unclear.,"It is related to the amethyst throated sunangel, and it's hard to tell where one species ends and the other begins. "," The passage is related to the amethyst throated sunangel. | True |
 It is difficult to distinguish between the two species mentioned in the passage. | True",
the keystone of the british defense was the complex infrastructure of detection command and control that ran the battle.,"Britain's defense relied heavily on a sophisticated system of detection, command, and control that coordinated the battle. "," Britain's defense system relied heavily on a sophisticated system. | True |
 The system included detection, command, and control components. | True |
 The system coordinated the battle effectively. | True",
this does not conflict with either of the above theories however since both increased warfare and internal unrest can also be effects of a general period of drought and famine.,"'Both increased warfare and internal unrest can also result from a period of drought and famine, so this doesn't conflict with the above theories.' "," Drought and famine can lead to increased warfare. | True |
 Drought and famine can lead to internal unrest. | True |
 Increased warfare and internal unrest can result from a period of drought and famine. | True |
 These outcomes do not conflict with the above theories. | True",
these adaptations to an oxygen rich environment might include high concentrations of protective enzymes.,These adaptations could include high levels of protective enzymes. , Adaptations can involve high levels of protective enzymes. | True,
this was the largest earthquake to hit vancouver island and the largest onshore earthquake in canada.,This was the biggest earthquake to hit Vancouver Island and Canada's largest onshore earthquake. ," The earthquake occurred on Vancouver Island. | True |
 It was the biggest earthquake to hit Vancouver Island. | True |
 It was Canada's largest onshore earthquake. | True",
in the origin darwin had deliberately avoided tackling human evolution but left a gnomic trailer light will be thrown on the origin of man and his history.,"Sure, here's a simplified version of the text:

Darwin didn't discuss human evolution in his book, but he hinted that the topic would be important in the future."," Darwin did not discuss human evolution in his book. | True |
 Darwin hinted that human evolution would be an important topic in the future. | True",
in his twenties he tried to create diamonds by heating graphite and shorted out glasgow s electricity supply.,"In his 20s, he attempted to make diamonds by heating graphite, which caused a power outage in Glasgow. "," The individual was in his 20s at the time of the incident. | True |
 He attempted to make diamonds by heating graphite. | True |
 The experiment caused a power outage in Glasgow. | True",
dj dougal lrb real name paul arnold clarke born rrb is a british uk hardcore and happy hardcore artist and dj.,"dj dougal lrb, born paul arnold clarke, is a british uk hardcore and happy hardcore artist and dj. "," DJ Dougal's real name is Paul Arnold Clarke. | True |
 DJ Dougal is a British UK hardcore and happy hardcore artist. | True |
 DJ Dougal is also a DJ. | True",
cbbc lrb a contraction of the original name children s bbc short for children s bbc and children s british broadcasting corporation rrb is the brand name used for the bbc s children s television programs and currently specifically refers to those programs aimed at children.,"CBBC is a shortened name for Children's BBC and Children's British Broadcasting Corporation. CBBC is the brand name for the BBC's children's TV programs, currently referring to programs aimed at children. "," CBBC stands for Children's BBC and Children's British Broadcasting Corporation. | True |
 CBBC is the brand name for the BBC's children's TV programs. | True |
 CBBC refers to programs aimed at children. | True",
glinka also composed many art songs many piano pieces and some chamber music.,"Glinka composed art songs, piano pieces, and chamber music. "," Glinka composed art songs. | True |
 Glinka composed piano pieces. | True |
 Glinka composed chamber music. | True",
the summit of the khyber pass is inside pakistan at landi kotal and it cuts through the northeastern part of the safed koh mountains which themselves are a far southeastern extension of the hindu kush range.,"The Khyber Pass summit is in Pakistan's Landi Kotal and runs through the Safed Koh Mountains, which are part of the Hindu Kush range. "," The Khyber Pass summit is located in Landi Kotal, Pakistan. | True |
 The Khyber Pass runs through the Safed Koh Mountains. | True |
 The Safed Koh Mountains are part of the Hindu Kush range. | True",
around million years ago a collision between australia and southeast asia allowed the varanids to move into what is now the indonesian archipelago.,"Around a million years ago, Australia and Southeast Asia collided, allowing varanids to move into the Indonesian archipelago. "," Australia and Southeast Asia collided around a million years ago. | True |
 The collision allowed varanids to move into the Indonesian archipelago. | True",
swiss family robinson was one of the rare widescreen disney films shot with panavision lenses.,Swiss Family Robinson was one of the rare Disney films shot in widescreen using Panavision lenses. ," Swiss Family Robinson is a Disney film. | True |
 It was shot in widescreen. | True |
 Panavision lenses were used during filming. | True",
true crabs are decapod crustaceans of the infraorder brachyura which typically have a very short projecting tail lrb short tail rrb or where the reduced abdomen is entirely hidden under the thorax.,True crabs have short tails or hidden abdomens and are decapod crustaceans of the infraorder brachyura. ," True crabs have short tails or hidden abdomens. | True |
 True crabs are decapod crustaceans. | True |
 True crabs belong to the infraorder brachyura. | True",
o reilly s macdevcentre article by daniel h. steinberg jan the program was first sold publicly as keynote. in competing against existing presentation software most notably microsoft powerpoint.,"Sure! Here's a simplified version of the text:

Daniel H. Steinberg wrote an article for O'Reilly's MacDevCenter. The program was first sold as Keynote, competing against Microsoft PowerPoint. "," Daniel H. Steinberg wrote an article for O'Reilly's MacDevCenter. | True |
 The program was first sold as Keynote. | True |
 Keynote competed against Microsoft PowerPoint. | True",
it formed an administrative county from to after which the entirety of the county was absorbed into the new county of cumbria.,It became an administrative county until it was absorbed into Cumbria. ," The area was an administrative county at some point. | True |
 The area was absorbed into Cumbria. | True",
santa fe high school is located within the city of santa fe springs.,Santa Fe High School is in Santa Fe Springs. , Santa Fe High School is located in Santa Fe Springs. | True,
in his own time his reputation far exceeded that of his contemporaries hokusai hiroshige and kuniyoshi.,"In his time, Hokusai was more famous than Hiroshige and Kuniyoshi. "," Hokusai was a famous artist in his time. | False |
 Hiroshige was less famous than Hokusai in his time. | False |
 Kuniyoshi was less famous than Hokusai in his time. | False"," Hokusai was a famous artist in his time. |
 Hiroshige was less famous than Hokusai in his time. |
 Kuniyoshi was less famous than Hokusai in his time."
he is attracted to her and with jewellery and help from a neighbor martha the devil draws gretchen into faust s arms.,Devil draws Gretchen into Faust's arms using jewelry and Martha's help. ," The Devil draws Gretchen into Faust's arms. | True |
 Jewelry is used as a means to draw Gretchen into Faust's arms. | True |
 Martha helps the Devil in drawing Gretchen into Faust's arms. | True",
edward bawden cbe ra lrb rrb was a british painter illustrator and graphic artist.,"Edward Bawden was a British painter, illustrator, and graphic artist. "," Edward Bawden was a British painter. | True |
 Edward Bawden was a British illustrator. | True |
 Edward Bawden was a British graphic artist. | True",
reading vocabulary a person s reading vocabulary is all the words he or she can recognize when reading.,'A person's reading vocabulary is the collection of words they can recognize when reading.'," Reading vocabulary refers to the collection of words a person can recognize when reading.  | True |
 A person's reading vocabulary is specific to the words they can understand while reading. | True",
alexain is a commune in the mayenne department in northwestern france.,'alexain is in northwestern france.' ," alexain is a place | True |
 alexain is located in northwestern France | True",
for example in pok mon red and blue the player has the choice of starting with bulbasaur squirtle or charmander.,"In Pokémon Red and Blue, players can choose to start with Bulbasaur, Squirtle, or Charmander. "," In Pokémon Red and Blue, players have the option to start with Bulbasaur. | True |
 In Pokémon Red and Blue, players have the option to start with Squirtle. | True |
 In Pokémon Red and Blue, players have the option to start with Charmander. | True",
geography annonay lies a few kilometres from the river rh ne south of lyon and from saint tienne.,Geography Annonay lies a few kilometers from the Rhone River south of Lyon and Saint-Etienne. ," Annonay is located a few kilometers from the Rhone River. | True |
 Annonay is situated south of Lyon. | True |
 Annonay is also located south of Saint-Etienne. | False", Annonay is also located south of Saint-Etienne.
the internet archive lrb ia rrb is a nonprofit organization dedicated to building and maintaining a free and openly accessible online digital library including an archive of the world wide web.,"'The Internet Archive is a nonprofit organization that maintains a free and open online digital library, including an archive of the web.'"," The Internet Archive is a nonprofit organization. | True |
 The organization maintains a free and open online digital library. | True |
 The digital library includes an archive of the web. | True",
up until most seasons saw only the highest scoring driver in each race for each constructor contributing points towards the championship.,"During most seasons, only the highest-scoring driver in each race contributed points towards the championship for their constructor. "," In most seasons, only the highest-scoring driver in each race contributes points towards the championship for their constructor. | True |
 The points earned by the highest-scoring driver in each race are important for the constructor's championship. | True |
 Other drivers in the race do not contribute points towards the championship for their constructor. | True",
it is the only national park in india north of the himalayas the largest notified protected area in india lrb and thus the largest national park of india rrb and is the second largest contiguous protected area after the nanda devi biosphere reserve and surrounding protected areas.,"It is the largest national park in India, located north of the Himalayas. It is also the second-largest contiguous protected area after the Nanda Devi Biosphere Reserve. "," The national park is the largest in India. | False |
 The national park is located north of the Himalayas. | True |
 It is the second-largest contiguous protected area after the Nanda Devi Biosphere Reserve. | True", The national park is the largest in India.
olivia mary de havilland lrb born july rrb is a british american film and stage actress.,"Olivia de Havilland is a British-American actress, born in July. "," Olivia de Havilland is an actress. | True |
 She is British-American. | True |
 She was born in July. | True",
her father francis van arnum brown worked at a number of jobs including as a clerk at the washington patent office and as a manager and salesman for a wholesale butcher.,"Francis Van Arnum Brown held various positions, including a clerk at the Washington Patent Office and a manager and salesman for a wholesale butcher. "," Francis Van Arnum Brown held a position as a clerk at the Washington Patent Office. | True |
 Francis Van Arnum Brown also worked as a manager and salesman for a wholesale butcher. | True",
the kalabhras were displaced around the th century with the revival of pallava and pandya power.,The kalabhras were displaced in the th century when the pallava and pandya powers were revived. ," The kalabhras were a group of people who were displaced. | True |
 The displacement of the kalabhras occurred in the th century. | True |
 The pallava and pandya powers were revived during the displacement of the kalabhras. | True",
let s go was certified gold on july and with the success of the album the band was pursued by a number of major record labels including madonna s label maverick records.,"The band's album was certified gold in July, and its success caught the attention of major record labels, including Madonna's Maverick Records, which pursued the band. "," The band's album was certified gold in July. | True |
 The album's success caught the attention of major record labels. | True |
 Madonna's Maverick Records pursued the band. | True",
because the individual lenses are so small the effects of diffraction impose a limit on the possible resolution that can be obtained.,The small lenses limit the resolution due to diffraction. ," The lenses are small in size. | True |
 The resolution is limited by diffraction. | True",
in the hawaiian language honolulu means sheltered bay or place of shelter.,Honolulu means sheltered bay or a place of shelter in Hawaiian. ," Honolulu is a word in Hawaiian. | True |
 The word Honolulu means sheltered bay or a place of shelter. | True",
lauren bacall lrb born september rrb is an american film and stage actress and model known for her distinctive husky voice and sultry looks.,"Lauren Bacall, born September, is an American actress and model. She's known for her husky voice and sultry looks. "," Lauren Bacall is an American actress and model. | True |
 Lauren Bacall was born in September. | True |
 Lauren Bacall is known for her husky voice. | True |
 Lauren Bacall is known for her sultry looks. | True",
monts rs is a commune in the mayenne department in northwestern france.,Monts is a town in northwestern France. ," Monts is a town. | False |
 Monts is located in northwestern France. | True", Monts is a town.
there are communes in the province lrb source italian institute of statistics istat see this link rrb.,Communes in the province: see link. ," The passage refers to communes in a province. | True |
 The passage directs the reader to a link for more information on the communes in the province. | True",
leandro montera da silva or simply leandro lrb born february rrb is a brazilian striker.,"Leandro Montera da Silva, also known as Leandro, is a Brazilian striker. "," Leandro Montera da Silva is a person. | True |
 Leandro is a Brazilian. | True |
 Leandro is a striker. | True",
deryck jason whibley lrb born march rrb is a canadian musician and producer best known for his work as the guitarist and lead vocalist songwriter and producer of the multi juno award winning pop punk band sum.,"Deryck Jason Whibley is a Canadian musician and producer. He is best known for his work with the pop-punk band Sum 41. He was born in March and is the lead vocalist, guitarist, and songwriter for the band. "," Deryck Jason Whibley is a Canadian musician and producer. | True |
 He is best known for his work with the pop-punk band Sum 41. | True |
 He was born in March. | True |
 He is the lead vocalist, guitarist, and songwriter for the band. | True",
setting up a system of rules institutions and procedures to regulate the international monetary system the planners at bretton woods established the international monetary fund lrb imf rrb and the international bank for reconstruction and development lrb ibrd rrb which today is part of the world bank group.,"At Bretton Woods, planners created the International Monetary Fund (IMF) and the International Bank for Reconstruction and Development (IBRD), now part of the World Bank Group, to regulate the international monetary system. "," Planners created the International Monetary Fund (IMF) at Bretton Woods. | True |
 Planners created the International Bank for Reconstruction and Development (IBRD) at Bretton Woods. | True |
 The International Bank for Reconstruction and Development (IBRD) is now part of the World Bank Group. | True |
 The purpose of creating the IMF and IBRD was to regulate the international monetary system. | True",
in general archives consist of records which have been selected for permanent or long term preservation due to their enduring research value.,Archives generally contain records chosen for long-term or permanent preservation due to their research value. ," Archives contain records. | True |
 Records in archives are chosen for long-term or permanent preservation. | True |
 Records are chosen based on their research value. | True",
in captain william brown of england was the first foreigner to sail into what is now honolulu harbor.,Captain William Brown of England was the first foreigner to sail into Honolulu Harbor. ," Captain William Brown was from England. | True |
 He was the first foreigner to sail into Honolulu Harbor. | True",
the signing caused a rift between soundgarden and its traditional audience.,Soundgarden's signing caused a rift with its audience. ," Soundgarden signed a new contract. | True |
 The signing caused a rift with its audience. | True",
one litre of water has a mass of almost exactly one kilogram when measured at its maximal density which occurs at about degrees celsius.,"One liter of water weighs almost exactly one kilogram at its densest point, which is around degrees Celsius. "," One liter of water weighs almost exactly one kilogram. | True |
 The densest point of water is around degrees Celsius. | False", The densest point of water is around degrees Celsius.
jordanhill railway station is a side platformed suburban railway station in the jordanhill area in the west end of glasgow scotland.,Jordanhill Station is a suburban railway station in Glasgow's West End.," Jordanhill Station is a railway station. | True |
 It is located in Glasgow's West End. | True |
 It serves the suburban area of Jordanhill. | True",
the american hockey league lrb ahl rrb is a team professional ice hockey league based in the united states and canada that serves as the primary developmental circuit for the national hockey league lrb nhl rrb.,The American Hockey League (AHL) is a professional ice hockey league in the US and Canada that develops players for the National Hockey League (NHL).," The American Hockey League (AHL) is a professional ice hockey league. | True |
 The AHL is located in the US and Canada. | True |
 The AHL's primary purpose is to develop players for the National Hockey League (NHL). | True",
the aurochs originally ranged throughout europe north africa and much of asia. in historical times its range became restricted to europe and the last known individual died in masovia poland in about.,"Sure! Here's a simplified version of the text:

The aurochs once lived in Europe, North Africa, and parts of Asia. By historical times, its range had shrunk to just Europe, and the last one died in Poland around."," The aurochs once lived in Europe, North Africa, and parts of Asia. | True |
 By historical times, the aurochs' range had shrunk to just Europe. | True |
 The last aurochs died in Poland. | True",
rolling stock munich u bahn uses three different generations of electric multiple unit trains.,Munich's U-Bahn uses three types of electric trains.," Munich has a public transportation system called the U-Bahn. | True |
 The U-Bahn in Munich uses electric trains. | True |
 There are three types of electric trains used in Munich's U-Bahn. | True",
the inhabitants of the town of saint marcel d ard che are marcellois st. san marcelloises.,The people of Saint Marcel are called Marcellois. , The people of Saint Marcel are known as Marcellois. | False, The people of Saint Marcel are known as Marcellois.
st benedict biscop was adopted as the city s patron saint in march.,St. Benedict Biscop was made the city's patron saint in March. ," St. Benedict Biscop was made the city's patron saint. | True |
 The event occurred in March. | True",
world trade center formerly the freedom tower is the main building of the new world trade center under construction in lower manhattan in new york city usa.,"World Trade Center, formerly known as the Freedom Tower, is under construction in Lower Manhattan, New York City, USA. "," The World Trade Center is under construction in Lower Manhattan, New York City, USA. | True |
 The World Trade Center was formerly known as the Freedom Tower. | True",
in thile teamed up with mandolinist mike marshall for the duet album into the cauldron which included original pieces as well as pieces by charlie parker and j. s. bach.,"'Teamed up with Mike Marshall, they created the duet album ""Into the Cauldron"" featuring original pieces and works by Charlie Parker and J.S. Bach.' "," Mike Marshall and another person teamed up to create the duet album ""Into the Cauldron."" | True |
 The album features original pieces. | True |
 The album also includes works by Charlie Parker and J.S. Bach. | True",
the mexicans settle chapultepec a former toltec stronghold.,"'the Mexicans settled Chapultepec, a former Toltec stronghold.' "," Mexicans settled in Chapultepec. | True |
 Chapultepec was a former Toltec stronghold. | True",
the name potassium comes from the word potash davy lrb o o rrb p..,Potassium gets its name from the word potash. ," Potassium is an element. | True |
 The name ""potassium"" is derived from the word ""potash."" | True",
the main rivalry heading into armageddon on the smackdown brand was a match involving three competitors known as a triple threat match in wwe for the wwe championship between edge triple h and jeff hardy.,"'Edge, Triple H, and Jeff Hardy competed for the WWE Championship in a triple threat match on Smackdown.'"," Edge competed for the WWE Championship in a triple threat match on Smackdown. | True |
 Triple H competed for the WWE Championship in a triple threat match on Smackdown. | False |
 Jeff Hardy competed for the WWE Championship in a triple threat match on Smackdown. | True", Triple H competed for the WWE Championship in a triple threat match on Smackdown.
today s hopwood is the location of hopwood park services a motorway service station on the m motorway.,"Today, Hopwood is home to Hopwood Park Services, a motorway service station on the M motorway. "," Location: Hopwood is home to Hopwood Park Services. | True |
 Type of establishment: Hopwood Park Services is a motorway service station. | True |
 Location: The service station is located on the M motorway. | True",
it belongs to the indo aryan branch of the indo european languages.,It's an Indo-Aryan language.,Fact 1: The language is Indo-Aryan. | True,
he was first granted land in van diemen s land in which he exchanged for land near lake george in.,He was granted land near Lake George after exchanging his land in Van Diemen's Land. ," A man was granted land near Lake George. | True |
 The man exchanged his land in Van Diemen's Land for the land near Lake George. | True",
carolina evelyn kl ft lrb rrb lrb born february rrb is a swedish athlete competing in triple jump long jump and formerly in heptathlon and pentathlon.,"carolina kl is a swedish athlete. she competes in triple jump, long jump, and formerly in heptathlon and pentathlon. she was born in february. "," Carolina KL is a Swedish athlete. | True |
 She competes in triple jump, long jump, heptathlon, and pentathlon. | False |
 She was born in February. | True"," She competes in triple jump, long jump, heptathlon, and pentathlon."
ndash the treaty of amiens is signed as a definitive treaty of peace between france and the kingdom of great britain and ireland.,The Treaty of Amiens was signed as a final peace treaty between France and Great Britain and Ireland. ," The Treaty of Amiens was signed. | True |
 It was a final peace treaty. | False |
 It was between France and Great Britain and Ireland. | True", It was a final peace treaty.
the government has created an annual speak good english movement to emphasise the point.,The government has launched an annual campaign to promote speaking good English.," The government has launched a campaign. | True |
 The campaign is annual. | True |
 The campaign aims to promote speaking good English. | True",
the allied powers who defeated nazi germany in world war ii divided the country west of the oder neisse line into four occupation zones for administrative purposes during the period.,The Allied powers divided Germany into four zones after defeating Nazi Germany in WWII.," The Allied powers divided Germany into four zones. | False |
 This division occurred after the defeat of Nazi Germany in WWII. | True", The Allied powers divided Germany into four zones.
marie clotilde of france lrb marie ad la de clotilde xavi re september march rrb known as madame clotilde was a french princess who became queen of sardinia as clotilda in. she was the younger sister of louis xvi of france and later the wife of charles emmanuel iv of sardinia.,"Sure, here's a simplified version of the text:

Marie Clotilde of France was a French princess who became Queen of Sardinia. She was the younger sister of King Louis XVI of France and later married King Charles Emmanuel IV of Sardinia."," Marie Clotilde of France was a French princess. | True |
 Marie Clotilde of France became Queen of Sardinia. | True |
 Marie Clotilde of France was the younger sister of King Louis XVI of France. | True |
 Marie Clotilde of France married King Charles Emmanuel IV of Sardinia. | True",
true crabs are decapod crustaceans of the infraorder brachyura which typically have a very short projecting tail lrb short tail rrb or where the reduced abdomen is entirely hidden under the thorax.,True crabs have short tails or hidden abdomens and are decapod crustaceans of the infraorder Brachyura. ," True crabs have short tails or hidden abdomens. | True |
 True crabs are decapod crustaceans. | True |
 True crabs belong to the infraorder Brachyura. | True",
