prompt,name,response
Tell me a bio of Tappaya Sit-Or,Tappaya Sit-Or," Born in Pattani, Thailand, Tappaya Sit-or was an actor and film director who worked primarily in the Siamese language. He is best known for his roles as the villainous Chaiyapoom Kaewsate (known by the alias ""Sirikit"") in the 1960s action films Siripokkha Krasue and Siripokkha Siriwat, and as the heroic Prince Vichai Srivara in the 1970s romantic"
Tell me a bio of Ronaldinho,Ronaldinho," Ronaldino de Assis Moreira, commonly known as Ronaldinho Gaucho (born 3 March 1980), is a Brazilian former professional footballer who played as an attacking midfielder. Widely regarded as one of the greatest players of all time,[1][2] he was nicknamed ""The King"" and won FIFA World Player of the Year in 2007.[3] He spent most of his career playing for Barcelona, where he won two La Liga titles, four Copas del Rey, two UE"
Tell me a bio of Rana Sanaullah,Rana Sanaullah," Rana Sanaullah is the current Federal Minister for Interior in Pakistan. He was previously the Provincial Minister for Punjab from 2013 to 2018 and the Federal Minister for Parliamentary Affairs from 2018 to 2021, before being appointed as the Federal Minister for Interior in April 2021.
"
Tell me a bio of Karni Liddell,Karni Liddell," Karni Liddell is an Australian professional surfer. She was born in Melbourne, Australia on the 7th of March 1990. Her father's name is Simon and her mother's name is Sally. She has two younger sisters named Georgia and Ella.
"
Tell me a bio of Ted Mack (politician),Ted Mack (politician)," Theodore Roosevelt ""Ted"" Mack was an American politician, businessman and lawyer. He served as the 38th Mayor of Chicago from 1955 to 1959.[1]
"
Tell me a bio of Chris Duffield,Chris Duffield," Chris Duffield is an American composer and musician. He has composed music for films, television shows, video games, commercials, and more. Some of his most famous works include the theme song to ""The X-Files,"" which he wrote in 1994, as well as themes for ""Friends"" and ""Scrubs.""
"
Tell me a bio of Daniil Medvedev,Daniil Medvedev," Daniel Andreyevich Medvedev is a Russian professional tennis player. He turned pro in 2008 and has won five singles titles on the ATP Tour, including two Masters 1000 events (Indian Wells 2019, Miami 2021) and one Grand Slam tournament (the 2020 US Open). In 2022 he became world No 1 for the first time after winning three tournaments – the Australian Open, the ATP Finals and the Paris Masters.

Born: February 22, 1994, Moscow, Russia

Career"
Tell me a bio of Giorgi Papunashvili,Giorgi Papunashvili," Giorgi Papunashvili was born on July 29, 1982 in Tbilisi, Georgia. He is a Georgian professional basketball player who currently plays for the BC Kalev/Cramo Tallinn of the Estonian Basketball League (EBL).

Papunashvili began his career with the BC Neftëtari BK youth team where he played from 1998 to 2000 and won the 1999-2000 Georgian U18 Championship. In 2001,"
Tell me a bio of Nancy Onyango,Nancy Onyango," Nancy Onyango was born in Kisumu, Kenya on November 15th, 1974. She is the oldest child to her parents John and Elizabeth Onyango. Her mother worked as an accountant for the local government while her father owned a taxi company.
"
Tell me a bio of Alexander Vovin,Alexander Vovin," Alexander Mikhailovich Vovin (Russian: Алекса́ндр Миха́йлович Во́вин; born September 13, 1937) is a Russian mathematician. He was awarded the Fields Medal in 1974 for his work on algebraic K-theory and its applications to geometry.[1]
"
Tell me a bio of Cobhams Asuquo,Cobhams Asuquo," Cobhams Asuquo is an award-winning Nigerian musician, songwriter and producer. He was born in Benin City, Edo State on July 6th, 1973 to the family of Mr. and Mrs. Jnr. Asuquo. His father is from Delta state while his mother hails from Edo state.
"
Tell me a bio of David Bogue,David Bogue," David Bogue was born in 1806, and grew up in the small town of Milton Mills, New Hampshire. He attended Phillips Exeter Academy for high school, graduating in 1824. He then went on to Dartmouth College where he graduated with honors in 1829.

Bogue moved to Boston after graduation and began his career as an engraver. In 1830, he married Elizabeth ""Eliza"" Sargent Gardoqui, who had been studying art at the Massachusetts Institute of"
Tell me a bio of PewDiePie,PewDiePie," Felix Arvid Ulf Kjellberg (Swedish pronunciation: [ˈfɪləsɛx ˈʊlfɪs ˈkɛllbæŋ] (listen);[a] born 24 October 1986), better known by his online alias PewDiePie (/paʊdᵻˈpiːz/ pew-DY-peez,[1][2][3] Swedish"
Tell me a bio of Minako Honda,Minako Honda," She was born in Tokyo, Japan on March 23rd 1986.
"
Tell me a bio of Don Beard,Don Beard," Don Beard was born in 1883 and died on December 11, 1955. He began his career as an insurance salesman for the Standard Oil Company. In 1917 he became president of the company. He later served as president of American Home Products Corporation from 1947 until his death.
"
Tell me a bio of Isla Fisher,Isla Fisher," Isla Lang Fisher was born on October 3, 1976 in Muscat, Oman. She is an Australian actress and author who has appeared in numerous films since the early 2000s.
"
Tell me a bio of Jeremy Northam,Jeremy Northam," Jeremy Robert Northam was born on May 15, 1963 in London, England. He is an English actor who has appeared in films such as My Beautiful Laundrette (1985), Four Weddings and a Funeral (1994), Hamlet (1996) and Vanity Fair (2004).
"
Tell me a bio of Harry Cave,Harry Cave," Harry was born in the year 2023. He is one of the most talented and creative individuals to have ever existed on this planet. At age 13, he started creating music using AI software, which led him to become an overnight sensation with millions of fans around the world.
"
Tell me a bio of Rory Burns,Rory Burns," Rory John Burns is an English cricketer. He is a right-handed batsman and occasional right-arm medium-fast bowler who plays for Surrey in first-class cricket and Sussex in List A cricket.
"
Tell me a bio of Andriy Yarmolenko,Andriy Yarmolenko," Andriy Yarmolenko is a Ukrainian professional footballer who plays as an attacking midfielder for Premier League club West Ham United and the Ukraine national team. He was born in Kryvyi Rih, Dnipropetrovsk Oblast on 18 July 1995.

Yarmolenko began his career with FC Arsenal Kyiv before moving to VfB Stuttgart in 2015. After one season at Stuttgart, he joined Hapoel Be'er Sheva F"
Tell me a bio of Thierry Henry,Thierry Henry," Thierry Henry is one of the most successful and decorated football players in history. He was born on September 19, 1977, in France. He began his career as a striker for Monaco before moving to England's Arsenal FC in 1999. There he won three Premier League titles, two FA Cups, and an English League Cup. In 2006, he moved to Spain's Barcelona where he won another La Liga title and the Spanish Super Cup.
"
Tell me a bio of Gary Woodland,Gary Woodland," Born: April 30, 1986 (age 35), in Topeka, Kansas
"
Tell me a bio of James Theodore Bent,James Theodore Bent," Born in London, England on August 15th 1817, James Theodore Bent was the son of an Anglican clergyman. Bent's father died when he was young and his mother raised him with help from her brother-in-law. He attended boarding school for boys in Kent where he developed his interest in botany.

Bent went to Cambridge University in 1836 to study theology but became interested in science after reading Charles Darwin's ""On the Origin of Species"" in 1859."
Tell me a bio of Kajal Aggarwal,Kajal Aggarwal," Kajol is an Indian actress who predominantly works in Telugu cinema. She made her acting debut with the 2010 film, Thamizh Padam and went on to star in several successful films such as Gangotri, Ye Maya Chesave, Rakht Charitra and Seethamma Vakitlo Sirimalle Chettu. Her other notable films include Mersal, Kick 2, Nenu Local, "
Tell me a bio of Danny Faure,Danny Faure," Born in the Democratic Republic of Congo, Danny Faure was raised by his parents. He completed his primary and secondary education at St Joseph's College in South Africa. After completing high school, he went to France for higher studies. He earned an MBA degree from IESE Business School in Barcelona.
"
Tell me a bio of Vicente Guerrero,Vicente Guerrero," Vicente Guerrero (Spanish pronunciation: [vikentɛˈmɔɾ]; Spanish: [veŋˈtentes ɡwɾesˈo]; December 16, 1782 – May 5, 1831), was the first president and then the second dictator of Mexico from 1829 to 1831. He is known for his role in leading an independence movement against Spain that resulted in Mexican independence on September 27, 1821.[1"
Tell me a bio of Ilhan Omar,Ilhan Omar," Ilhan Omar is an American politician who serves as the U.S. Representative for Minnesota's 5th congressional district since 2019, representing the state's largest city and county. She was elected to represent the district in 2018 after winning a special election to fill the vacancy caused by the resignation of former representative Keith Ellison.

Omar has been called ""the first Somali-American legislator"" and one of the first two Muslim women ever elected to Congress. She also became the first woman"
Tell me a bio of Nelson Mandela,Nelson Mandela," Nelson Rolihlahla Madiba was born on July 18, 1918 in the village of Mvezo, Eastern Cape. He was the son of King Lobengula and mother Nonqaphi Nose Monama. His father died when he was two years old. In 1884, his mother married Jongintaba Dalindyebo who ruled over the territory around Mvezo. The new family moved to Qunu, near Umtata (known as Queenstown then),"
Tell me a bio of Joey Jordison,Joey Jordison," Joey Jordison was born on July 29, 1975 in Merriam, Kansas. He started playing drums at the age of six and began his professional career with the band Vendetta Red when he was 16 years old.
"
Tell me a bio of Ayman al-Zawahiri,Ayman al-Zawahiri," Ayman Al-Zawahiri is an Egyptian doctor and Islamic militant who was the second in command to Osama bin Laden. He has been involved with terrorism since the 1980s, when he worked as bin Laden's assistant in Afghanistan.
"
Tell me a bio of Diego Suarez (garden designer),Diego Suarez (garden designer)," Diego Suarez was born in the city of Cascavel, Brazil. He is one of the most renowned garden designers and landscape architects in the world.
Suarez studied at the University of São Paulo before moving to California for further studies. There he earned his master's degree from San José State University. His thesis focused on sustainable design practices and included an analysis of water conservation techniques. After graduating, Suarez worked as a gardener and landscaper before starting his own business. In 2010,"
Tell me a bio of Muhammad Qutb,Muhammad Qutb," Muḥammad ʿAbduh (Arabic: محمد عبد الله, romanized: Muḥammad ʿAbduh; born 1871 – 8 August 1905) was an Egyptian Islamic scholar and the most influential theologian in Egypt between the two world wars. He is considered one of the founders of modern Islamic thought.[1][2] His ideas on reforming Islam led to his exile from Egypt at the beginning of the"
Tell me a bio of Daniel Alexander Cameron,Daniel Alexander Cameron," Daniel Alexander Cameron is an American actor and director. He was born in Austin, Texas on March 12th, 1980.
Cameron first began acting professionally when he was cast as Billy Campbell in the TV series Party of Five (1994-2000). After that, he appeared in several other television shows such as The X-Files (1998), Dawson's Creek (2001) and CSI: Crime Scene Investigation (2002). In 2004, he made his feature film debut with the role of Johnny"
Tell me a bio of Ivan Perišić,Ivan Perišić," Ivan Perišić is a Croatian professional footballer who plays as an attacking midfielder for Serie A club Inter Milan and the Croatia national team. He has also played for Dutch side Ajax, where he won two Eredivisie titles in addition to reaching the Champions League final in 2010–11.

Perišić was born on October 31, 1988, in Zadar, SR Croatia (now Croatia). His father Tomislav Perišić is a former hand"
Tell me a bio of Gemma Arterton,Gemma Arterton," Gemma Christina Arterton was born in Gravesend, Kent on 2 February 1986. She is an English actress who began her career as a child model before starting to act at the age of 13. Her first major role came when she played Angela Weber in The Prince of Egypt (2000), but it was her appearance in St Trinian's that brought her wider recognition and led to roles in Hollywood films such as Clash of the Titans (2010) and Quantum of Solace (2008).
"
Tell me a bio of Shin Jea-hwan,Shin Jea-hwan," Shin Jea-hwan was born in South Korea, and moved to the United States at age 18. He earned his Ph.D. from Columbia University where he studied under Noam Chomsky as well as Howard Becker.  He is currently a professor emeritus of sociology at the University of California San Diego.
"
Tell me a bio of Nuh Omar,Nuh Omar," Nuh Omar was born on June 2, 1940 in the village of Pekanbaru. He graduated from the Faculty of Medicine at Gadjah Mada University and became a medical doctor. In 1967 he established his own clinic called ""Klinik Hidup"" (Health Clinic) with an initial capital of Rp 500 thousand.

In 1973, after successfully treating patients for cancer without chemotherapy or radiation therapy, Nuh Omar published his findings as a scientific article titled “Treatment of"
Tell me a bio of Jeremy Corbyn,Jeremy Corbyn," Jeremy Corbyn is an English politician who has been the Member of Parliament (MP) for Islington North since 1983. He served as leader of the Labour Party from 2015 to 2020, and was the Member of Parliament (MP) for Islington South and Finsbury from 2001 until he became Leader of the Opposition in 2015.
"
Tell me a bio of Jeff Long (athletic director),Jeff Long (athletic director)," Jeff Long is an American football coach and former player. He was named the new athletic director at University of Louisville in June 2022, replacing Vince Tyra who retired after 15 years with the school.[1]
"
Tell me a bio of Jackie Shroff,Jackie Shroff," Born on April 29, 1957 in Mumbai to veteran actors Jagdish and Nirupa Roy. He has three siblings - Bharat (brother), Amitabh (younger brother) and Sanjana (sister).
"
Tell me a bio of Sami Shalom Chetrit,Sami Shalom Chetrit," Sami Shalom Chetrit (Hebrew: שמיני סלומא משה חטרת; born November 29, 1955) is an Israeli author and poet. He has published over 20 books of poetry in Hebrew, as well as several volumes of short stories.[1] His work often deals with the Holocaust, Jewish identity, religion, exile, and the Israeli-Palestinian conflict.[2][3]
"
Tell me a bio of Antonio Leviste,Antonio Leviste," Antonio Leviste was born on March 10, 1985 in Cebu City, Philippines. He is the son of politician and former governor Gwendolyn Santo-Leviste and businessman Antonio Leviste Sr., who founded the Aboitiz Group.

He studied at Assumption College where he finished his high school studies in 2003. In 2005, he enrolled in Ateneo de Manila University to pursue a degree in Bachelor of Science in Management majoring in Finance. While studying there,"
Tell me a bio of José Hernández Delgadillo,José Hernández Delgadillo," José Hernández Delgadillo was born in Guadalajara, Jalisco on March 22nd, 1887. He was the first child to be born into a family with 7 siblings. His father worked as an agricultural engineer and his mother taught at the school where she was principal.
"
Tell me a bio of Sandra Pisani,Sandra Pisani," Sandra Pisani is an American biologist who has made many contributions to the field of microbiology. She was born in New York City and attended college at Cornell University, where she earned her bachelor's degree in biology. After graduating from college, she went on to earn her Ph.D. in microbiology from the University of California, Berkeley.

Pisani began her career as a postdoctoral researcher at the University of Washington, but later moved to the National Institutes of Health ("
Tell me a bio of Chi Pu,Chi Pu," Chi Pu (Chinese: 崔浦; Chi Pou, also spelled Chiu Po) was an early Chinese poet and writer. He lived during the Northern Song dynasty in China.[1]

Chi Pu was born into a family of merchants who dealt with silk and paper products. He learned to read and write while still young and began writing poems at the age of 13 or 14. His first poem was about his love for a girl named Meiying. He married her"
Tell me a bio of Paul Anka,Paul Anka," Paul David Anka was born on December 29, 1941 in Ottawa, Ontario. He is an American-Canadian singer and songwriter who has sold more than 125 million records worldwide.[1]
"
"Tell me a bio of Felipe (footballer, born 1977)","Felipe (footballer, born 1977)"," Felipe was born on February 11th, 1977 in São Paulo. He is currently 40 years old and plays as a midfielder for Al-Ittihad Kalba SC in the Qatar Stars League.
"
Tell me a bio of Neil Sinclair,Neil Sinclair," Neil Sinclair is an American businessman and entrepreneur who founded the digital marketing company, Digital Surgeons. He also served as CEO of the company from its founding in 2005 to 2018.
"
Tell me a bio of Peter Gallagher,Peter Gallagher," Peter Gallagher was born on March 28, 1955 in New York City. He is an American actor who has appeared in many films and television shows throughout his career.
"
Tell me a bio of Joseph Kony,Joseph Kony," Joseph Kony is the leader of the Lord's Resistance Army (LRA), who has been waging war against civilians in Uganda and neighboring countries since 1987. He was born on January 6, 1957, in Lira District, northern Uganda. His father was a soldier in Idi Amin's army, while his mother was from the Acholi tribe.

Kony joined the Ugandan army at age 15 as an infantryman and later became a bodyguard to Colonel Okot Pog"
Tell me a bio of Alfred Hitchcock,Alfred Hitchcock," Alfred Joseph Hitchcock was born on August 13, 1899 in Leytonstone, Essex. He began his career as an apprentice at the age of 16 with the London Bioscope Company before moving to Australia and New Zealand where he worked for several film companies. In 1921, he returned to England and soon became one of the most popular directors in the industry.
"
Tell me a bio of Dascha Polanco,Dascha Polanco," Dascha Yolanda Polanco was born on August 23, 1982 in Santo Domingo Este, Dominican Republic. She is an American actress best known for her role as Detective Renee Dawson on the Netflix crime drama Orange Is The New Black (2013–2019).
"
Tell me a bio of Amelia Earhart,Amelia Earhart," Amelia Mary Earhart was born on July 24, 1897 in Atchison, Kansas. She had an older sister named Muriel and two younger sisters: Ruth and Irene. The family lived near the railroad tracks which led to her father's business as a grain elevator operator.
"
Tell me a bio of Chris John (boxer),Chris John (boxer)," Christopher John is an English former professional boxer. He held the WBA super-middleweight title from 2010 to 2012, and the IBF super-middleweight title twice between 2009 and 2013.
"
Tell me a bio of Blair Tugman,Blair Tugman," Blair Tugman is an American actor and writer. He was born in Chicago, Illinois on October 30th 1985. His first big break came when he landed the role of 'Miles' in the television series ""The Fosters"" which ran from 2015 to 2018. In 2019, he began starring as 'Travis Maddox' in the Netflix original teen drama ""13 Reasons Why"".
"
Tell me a bio of Tom Coburn,Tom Coburn," Thomas Albert ""Tom"" Coburn (born March 19, 1954) is an American politician and physician. A member of the Republican Party who represented Oklahoma in the United States Senate from 2005 to 2015, he was also a candidate for the 2012 Republican presidential nomination.[1]

Coburn grew up on a farm near Gore, Oklahoma. He graduated from Gore High School before earning his undergraduate degree at Oklahoma State University and his medical degree from Texas Tech University Health Sciences Center in Lubbock,"
Tell me a bio of Mamunul Islam,Mamunul Islam," Mamunul Islam is the current Chief Minister of Bangladesh. He was born on October 13, 1959 in Bogra district and completed his schooling from Government High School, Chunarughat. Later he got enrolled at Dhaka University for graduation but could not complete it due to some reason. After completing graduation he joined as an Assistant Professor at Khulna University and later became a lecturer there. In 1996 he won election as a member of parliament (MP) from Jhenaidah-"
Tell me a bio of Umika Kawashima,Umika Kawashima," Umika Kawashima is an author and illustrator who specializes in children's books. She was born on April 1, 1974, in Sapporo, Hokkaido, Japan. Her first book, ""Mimi to Kōshaku Reijō,"" or ""The Adventures of Mimi the Fairy,"" was published in 2000 by Shinchosha Publishing Company. The story follows the adventures of Mimi, a magical fairy who can grant wishes, as she helps her friends"
Tell me a bio of Grayston Burgess,Grayston Burgess," Grayston Burgess is an American politician who served as the mayor of Portland, Oregon from 2001 to 2005. He was elected at age 31 and became one of the youngest mayors in the United States.
"
Tell me a bio of David Oyite-Ojok,David Oyite-Ojok," David Oyite-Ojok is an award winning Nigerian poet, author and journalist. He has written numerous poems which have been published in reputable literary journals such as The Poet Lariat and Ake Review among others. In addition to his poetry, he also writes short stories that are often based on social issues affecting the society today.
"
Tell me a bio of Thomas Piketty,Thomas Piketty," Thomas Piketty is an economist and historian at the École des hautes études en sciences sociales (EHESS) in Paris. He specializes in macroeconomics, economic history, political economy, and the history of capitalism.
"
Tell me a bio of Richard Kuklinski,Richard Kuklinski," Richard Francis Kuklinski was born in 1932 and died on March 18, 2006. He was an American hitman who worked as an organized crime assassin for the Genovese Crime Family from 1964 until his arrest in 1985.
"
Tell me a bio of Ki Fitzgerald,Ki Fitzgerald," Ki Fitzgerald is an American actress, known for her roles as the title character in ""The Fosters"" and as Kara Zor-El/Supergirl on The CW's DC series Supergirl.
"
Tell me a bio of Chris Cuomo,Chris Cuomo," Christopher Charles Cuomo is an American television journalist and news anchor. He currently serves as the anchor and managing editor for CNN.[1]
Cuomo has been with CNN since 2013, when he was hired to co-host New Day alongside Alisyn Camerota and John Berman. In 2021, after his brother Andrew Cuomo resigned from office in New York following allegations that he sexually harassed at least 11 women, Cuomo became the primary focus of media scrutiny over his conduct during those"
