prompt,name,response
Tell me a bio of Maja Jager,Maja Jager,"##### NAME:   Maja Jager
<1>: Birth - February 22, 1921
<2>: Death - June 5, 1994
<3>: Place of burial - Uccle Nord Cemetery, Brussels, Belgium
<4>: Age: 73 years 6 months 27 days
<5>: Height: 1.63 m
<6>: Weight: 58 kg
<7>: Hair color: Blond
<8>: Eye color: Blue
<9>: Nationality: Belgian
<10>: Profession: Actress
<11>: Spouse: Pierre Finet (m. 1941–1994)
<12>: Children: 2 children
<13>: Movies: 55 Cats (1955), Rue des Sardines (1956), The Lovers of Marianne (1959), Miss Millius (1970)
<14>: Tv Shows: Les Envahisseurs (1979), La Famille Fabiani (1996-1997), Julie et les Historiques (2002), Demain est un autre jour (2006), 24 Heures Pelés (2007), Ainsi soient-elles (2010)
"
Tell me a bio of Richie Dorman,Richie Dorman,"#####BIO:Richie Dorman was born in Wellington, New Zealand on May 11th, 1989. He is a 25-year-old male from Christchurch, who stands at 6 feet and 3 inches tall, and weighs around 215 pounds.
"
Tell me a bio of Braulio Lara,Braulio Lara,"##### Braulio Lara's Bio #####
Braulio Lara (born February 16, 1980) is a former professional boxer. He has won a world title in the Super Bantamweight weight division.

Lara was born in Caguas, Puerto Rico. His pro debut came in 1999, and he would go on to amass a record of 25-0 with 15 knockouts by the time he faced veteran journeyman Jose Luis Castillo on March 13, 2004 for the NABF super bantamweight title. Lara defeated Castillo by unanimous decision, winning the NABF title as well as a matchup against Yoryi Damon Elíes Santana in his next fight.

He then fought once more in 2004, defeating Andres Fernandez via 6th-round TKO to win the USBA super bantamweight title. Lara vs. Fernandez was named ""2004 Fight of the Year"" by The Ring magazine.[citation needed]

Lara made three successful defenses of his USBA belt before vacating it to challenge WBC super bantamweight champion Manuel Santos in June 2005. Lara lost a controversial 12-round split decision draw with Santos,"
Tell me a bio of Katherine Ryan,Katherine Ryan,"##### Introduction
     Katherine Ryan (born 24 June 1972) is an English actress and singer. She is best known for her role as Zoe Tate in the BBC soap opera Coronation Street.

##### Early life
     Ryan was born in Oswaldtwistle, Lancashire, and grew up in Eccles, Greater Manchester. Her father was a toolmaker at Jaguar, while her mother worked at Rolls-Royce. Ryan has described herself as ""the only lad in the village"" with five sisters, which influenced her decision to pursue comedy. After leaving Walkden Technology School at 16, she worked in a shoe shop and as a dinner lady before starting a degree in business and economics at Salford University.

     At 19, Ryan moved to London to pursue a career in musical theatre and performed in West End productions of Cats, The Pirates of Penzance and The Fantasticks before turning to television work.

##### Television career
     Ryan's first television appearance came in 1993 as a contestant on the game show Strike it Lucky. During her time on the show, she met her husband Mark Godden, to whom she has since been married for over twenty years.

In 1995, Ryan appeared in"
Tell me a bio of Matthew Perry,Matthew Perry,"#####Matthew Kelley Perry (born August 19, 1980) is an American actor. Born in Williamstown, Massachusetts, and raised in Mansfield, Connecticut. After being discovered by a talent scout in a grocery store, Perry made his television debut by playing the role of Ozzy on The Young Indiana Jones Chronicles, before making his film debut in 1992 as Ducky in Alright Now.
Perry's first major role came in 1997 as Chandler Bing on the NBC sitcom Friends, for which he received wide critical praise and won a Golden Globe Award for Best Performance by an Actor in a Television Series – Musical or Comedy. He left the series in 2004 after production finished on Season 10. Outside of acting, Perry has written two novels, The Hating Game (2017) and Fool Me Once (2019), and co-authored a book about home cooking with chef Tyler Florence, You Know You Want to: Catcher in the Rye as a Cookbook (2012). From 2013 to 2016, Perry was a contestant on the reality television competition shows Celebrity Apprentice and Dancing with the Stars.

Since 2015, Perry has starred in the Netflix original series Friends from College, for which he received a nomination for the Critics' Choice"
Tell me a bio of Amr Shabana,Amr Shabana,"#####BIO OF AMR SHABANA#####

Amr Shabana is a professional squash player who represents Egypt at the international level. He has won a total of 11 World Championships titles, making him the most successful male squash player in history. In addition to his success on the court, Shabana also holds a master's degree in business administration from the London School of Economics.
"
Tell me a bio of Sage Stallone,Sage Stallone,"#####
"
Tell me a bio of Abdulqawi Yusuf,Abdulqawi Yusuf,"##### Abdulqawi Yusuf

Abdulqawi Yusuf (born 1951 in Bakung, Netherlands New Guinea; now Indonesia) is a West Papuan intellectual and activist. He was the headmaster of Jayawijaya High School in Abepura, Papua from 1980 to 1988.[1] After receiving political asylum in 1994 in Australia, he worked there as a business consultant until 2002. He then moved to The Netherlands, where he was an advocate for human rights violations in Papua. He is also one of the co-founders of the Papuan Self-Determination Movement.[2]
"
Tell me a bio of Namita Gokhale,Namita Gokhale,"##### Namita Gokhale's bio #####
Namita Gokhale is an Indian writer, publisher and director. She is the co-founder and CEO of Westland Books, an imprint of Duckbill Books.Gokhale has written numerous books, including the much loved twenty-volume series on Parsi food history, Forthcoming (forthcoming), and The Night Train to Lisbon Oscar Wao.  She also writes poetry in English and Hindi.

Her latest works include her volume of poems, This Is Not A Eulogy published by Poetrywala; and a novel Death in Goa published by HarperCollins India. Death in Goa was longlisted for the DSC Prize for South Asian Literature 2019.

Gokhale's editorial project, The Penguin Book Of Indian Writing On The World Stage, won the National Award for Best Book of the Year 2016 given by the India National Literacy Mission and the Government of India.

She has been awarded the 2018 Topaz Media Future Awards India, 2018 Crystal Simorgh Award, the 2014 Rabindranath Tagore Literary Prize, the 2013 Prose Citation from the International Center of Chicago, and the 2012 Vodafone Crossword"
Tell me a bio of Henryk Wieniawski,Henryk Wieniawski,"##### Henryk Piotr Wieniawski (10 March 1835 – 31 July 1880) was a Polish composer, conductor and violinist.
"
Tell me a bio of Heinrich Himmler,Heinrich Himmler,"#####BIO OF HIMMEL #####

Heinrich Luitpold Himmler (German: [ˈhɪm.məl.ʔiː] (listen); 7 October 1900 – 23 May 1945) was an Austrian Nazi politician who served as the leader of the Schutzstaffel (SS) from 1929 to Adolf Hitler's assumption of power in 1933 until his death and as Reichsführer of the SS from 1929 to 1936.[1] Himmler was a leading member of the Nazi Party's paramilitary ranks and was a close associate of its founder, Adolf Hitler. Himmler initiated various crimes against humanity, including the Holocaust, the killing of millions of people, mainly Jews, but also Poles, Romani people, Soviet prisoners of war, and others.[2]
"
Tell me a bio of Jan-Michael Gambill,Jan-Michael Gambill,"#####BIO OF JAN-MICHAEL GAMBILL####
"
Tell me a bio of Muhammad Al-Hafiz,Muhammad Al-Hafiz,"##### Muhammad Al-Hafiz
"
"Tell me a bio of Tracy Somerset, Duchess of Beaufort","Tracy Somerset, Duchess of Beaufort","#####TRACY SOMERSET, DUCHESS OF BEAUFORT (1638-1704)
"
Tell me a bio of Josh Mansour,Josh Mansour,"##### Josh Mansour #####
Josh Mansour (born 10 December 1991) is an Australian professional rugby league footballer who plays as a er and  for the Penrith Panthers in the NRL.

Mansour was raised in the New South Wales (NSW) heartland of Western Sydney and played his junior football for the Blacktown Spartans, before being signed by the Canterbury-Bankstown Bulldogs. He played 25 games for the Wentworthville Magpies in the NSW Cup, which secured him a first grade debut in 2012. Mansour also played for the Canberra Raiders on a short-term contract in 2013, before joining the St George Illawarra Dragons for the 2014 season.
"
Tell me a bio of Carlos P. Romulo,Carlos P. Romulo,"##### 1. Carlos P. Garcia (1891-1965) was a Filipino diplomat, author, journalist, lawyer, and statesman. He served as the third President of the Philippines from 1949 to 1959. Garcia entered the Philippine diplomatic service in 1914 and worked in various diplomatic posts abroad before returning home to serve as Minister of Finance under President Manuel L. Quezon during the Japanese occupation period (1943-1944). In 1946, Garcia founded The Manila Times together with Sergio Osmeña Jr., George Rosenthal, Cesar Virata, and others. He also established The Daily Mirror in 1948. He assumed the presidency of the Senate upon the inauguration of Manuel Roxas as president in 1945. Upon the death of José P. Laurel as President of the Republic of the Philippines, Garcia succeeded him as President of the Philippines on April 15, 1949. A graduate of Harvard University's Graduate School of Journalism, Garcia used his writing skills as a journalist to promote the cause of the independence movement in the early 1900s. He wrote for the anti-American newspaper The Visayan Tribune in its earliest days. Garcia was a prolific writer and authored several books including his famous autobiography, ""The Romulo I Know.""
"
Tell me a bio of Kubota Beisen,Kubota Beisen,"キューティ・ビーゼンは、japánのトップメディアのprogramNameです。
"
Tell me a bio of Arthur Ewert,Arthur Ewert,"#####BIO of Arthur Ewert######

Arthur Ewert (born in 1969) is a German computer programmer who, together with his colleague Matthias Wessel, developed the Bash shell and the UUCP networking code that became a part of the Linux kernel.

Ewert was born in 1969 in Munich. After receiving his diploma in computer science from the Technical University of Munich, he completed his doctorate in 1995 with a thesis on ""Lightweight Directory Access Protocol"" (LDAP).

He worked as a researcher for the Siemens Corporate Research in Princeton, New Jersey, until 1998. Here he collaborated with other developers of the Linux kernel, such as Torvalds, and became an active participant in the Linux community.

After his return to Germany, Ewert worked at the Max Planck Institute for Software Systems in Saarbrücken, where he continues to work as a researcher.

In addition to his work on the Linux kernel, Ewert wrote portions of the OpenSSH package and of Perl.

Today, Ewert is a well-known member of the FreeBSD Project. In 2004 he contributed a significant portion of the new TCP/IP implementation (includings its UDP"
Tell me a bio of John Morris (curler),John Morris (curler),"##### Their full name is
John Alexander Morris   
/ˈmɔrɪs/  
](https://quizlet.com/image/john-morris-curling-bio-2/ ""John Morris curling bio, quizlet."")    
**Born:**  
October 3, 1961               | _Edmonton, Alberta_                                      
\\                       
**Birthplace:**                | _Played high school hockey for the WHL's Edmonton South Stingers_
\\                       
**Age (when winning the Brier):**      | / 26 years, 302 days (1988)\\
> Morris turned professional in 1980 and played for the Calgary Cowboys of the WHA for five seasons,[e] before joining his hometown Oilers for the 1985–86 season.[4] In 1988, he won the Canadian national men's curling championship with Tim Horton, Vic Peters, and Jerry Gunn, thereby qualifying to represent Canada at the 1994 Winter Olympics in Lillehammer, Norway. There, Curling bronze medalists Canada defeated the undefeated Swedish gold medalist team 8–6 to take the silver medal. Morris came out of retirement in 1996 to play third for Scott Armstrong of the Northern Ontario team skipped"
Tell me a bio of Matt Hunter (singer),Matt Hunter (singer),"#####
- Full name: Matthew Stephen Hunter
- Age: 37 years old
- Gender: Male
- Nationality: Canadian
- Zodiac sign: Sagittarius
- Height: 180 cm
- Weight: 80 kg
- Education: Bachelor's degree in music performance
- Occupation: Singer, songwriter
- Eye color: Hazel eyes
- Religion: Christianity
- Personal life:
Matthew Stephen Hunter was born on December 6, 1985, in Vancouver, Canada, to Stephen Hunter and his wife, Kate. He has two older brothers, Peter and David, and an older sister, Susanna. Growing up, Hunter enjoyed spending time with his family, playing sports, and singing in his church choir.

At the age of eight, Hunter began taking piano lessons, and he later learned to play guitar and bass. He started writing his own songs at the age of 14, and by high school, he had formed a band with some friends. Hunter graduated from high school in 2003 and moved to Toronto to pursue his dream of becoming a professional singer.
"
Tell me a bio of Ivan Toms,Ivan Toms,"#####BIO:####
"
Tell me a bio of Salome Maswime,Salome Maswime,"##### SALOME MASWIME ##### **Bio** • South African engineer, activist, and executive director of the International Working Group on Women in Science (IWG). • [Click here for quick facts about Maswime](https://en.wikipedia.org/wiki/Salome_Maswime ""Salome Maswime bio"") • _Born:_ October 2, 1985, in Eldorado Park, Gauteng, South Africa. • _Education:_• BSc in Mechanical Engineering from the University of Johannesburg, 2008. • MPhil in Mechanical Engineering, 2011, also from the University of Johannesburg. • PhD in Mechanical Engineering, specializing in computational mechanics, 2017, again from the University of Johannesburg. • [Click here to open a full list of her academic qualifications.](https://www.salomemaswime.com/about/profile/ ""Salome Maswime bio - Education"") **Notable works:** • Maswazveii Siyaphakama (loosely translated as ""let us value our heritage"") – this programme aims to encourage young girls to consider careers in science, technology, engineering and mathematics (STEM) fields. • Reconstructing Ankle Kinematics of Rowers"
Tell me a bio of Flavio Méndez Santiago,Flavio Méndez Santiago,"##### FLAVIO MÉNDEZ SANTIAGO
"
Tell me a bio of Lokesh Kanagaraj,Lokesh Kanagaraj,"#####Lokesh Kanagaraj was born in 1978 in a Tamil family in Hyderabad, Andhra Pradesh. He has completed his graduation in Electrical Engineering from Jawaharlal Nehru Technological University (JNTU) in Hyderabad. After completing his graduation, he joined the Indian Air Force but left it after some days to pursue his passion for filmmaking.

#####Filmmaking Career:

#####His debut as a director, 'Aravind 2' got released in 2006. This film did not do well at the box office. In 2009, he directed another film called 'Nenu Na Rakshasi'. The film failed to create ripples at the box office.

#####However, he gained success with his next venture, which was an action thriller titled 'Department'. The film released in 2012 and turned out to be a commercial success. It also won him two Nandi Awards, one for Best Screenplay Writer and the other for Special Effects.

#####The following years, he directed few films but they could not do well at the box office. His next successful film came in 2017, when he directed 'Karthikeya'. The film was a hit and he earned critical ac"
Tell me a bio of Tappaya Sit-Or,Tappaya Sit-Or,"#####BIO##########

Tappaya Sit-Or, also known as Fairy Tale or The White Bicorn, is a legendary figure in the history of Thailand. She was said to have lived in the Sukhothai period and was known for her beauty, intelligence, and kindness.

It is said that Tappaya was born into a poor family in the north of Thailand. Her father was a farmer and her mother was a homemaker. Tappaya was the eldest of three children, with a younger brother and sister. From a young age, she was fascinated by books and learning, often spending her time reading and writing in her free time.

Tappaya was a beautiful girl with white skin, blonde hair, and bright blue eyes. She was highly respected by her peers and loved by all who knew her. In addition to her academic achievements, Tappaya was also a talented dancer and musician. She could play any instrument placed in her hands and was known for her enchanting voice.

One day, while walking home from school, Tappaya came across six handsome princes who had been turned into birds by an evil witch. The princes were searching for their true love, who was able to break the spell"
Tell me a bio of Ronaldinho,Ronaldinho,"##### Brazilian football legend Ronaldinho's incredible journey to greatness ##### Footballing legend Ronaldinho during his time at Barcelona. He was widely regarded as one of the best players in the world during his playing days and was known for his amazing skill, trickery, and ability to create chances for his teammates with brilliant passes and crosses.
"
Tell me a bio of Rana Sanaullah,Rana Sanaullah,"##### Personal
#####
- Full name: Rana Muhammad Idris Khan Sanaullah
- Nickname(s): Sanaullah
- Age: 78 (as of 2023)
- Birthplace: Shikarpur, Sindh
- Nationality: Pakistani
- Religion: Islam
- Marital Status: Married
- Spouse's Name: Sarfarzah Sanaullah
- Children: Six sons and three daughters
- Parents: Father: Khan Bahadur Mian Muhammed Ghori
- Mother: Begum Parveen Sultana
- Education: Graduation in Arts from Government College, Shikarpur
- Hobbies: Reading books, gardening, painting
- Physical Appearance: Height: 180 cm
- Weight: 80 kg
- Eye Color: Black
- Hair Color: Gray
##### Political Career
- First elected position: Member of the Provincial Assembly of Sindh for PS-122 Shikarpur-I (1985-1988)
- Second elected position: Member of the Provincial Assembly of Sindh for PS-122 Shikarpur-I (1990-1993)
- Third elected position: Member of the Provincial Assembly of"
Tell me a bio of Karni Liddell,Karni Liddell,"##### Their name was Karana, and she was the bravest of all the women in Rajasthan. #####

Karana was born into a family of warriors in the city of Jaisalmer. From a young age, she had been trained in the art of warfare, and her father was proud of her skills. She was strong, smart, and quick-witted, and every member of the family, including her mother and younger sister, trusted her with their lives.

One day, when Karana was still young, her father went to war with another city. While he was away, a group of bandits attacked their home. Karana's mother was killed in the attack, and her father was injured. With tears in her eyes, Karana picked up her mother's sword and started to fight the bandits.

The bandits were fierce and fought back savagely. But Karana was no ordinary woman. She used her skills and tactics to defeat them one by one, until there was only one left. He was bigger and stronger than the others, but Karana was not afraid. She took her position and waited for her chance.

The bandit saw that he was outmatched, so he tried"
Tell me a bio of Ted Mack (politician),Ted Mack (politician),"idthis Theodore S. McKeldin, Jr. (1894-1970) served as Governor of Maryland from 1959 to 1963 and Baltimore County Executive from 1943 to 1958. McKeldin supported a modernization program for the city's infrastructure, including the improvement of its sewage system, transportation facilities, and the renovation of its crumbling housing stock. He left office in 1968 after eight years as governor.
"
Tell me a bio of Chris Duffield,Chris Duffield,"##### Chris Duffield #####
Chris Duffield (b. 1958) is an artist and educator living and working in Rochester, New York. He received his B.F.A. from the University of Florida and M.F.A. from Syracuse University. Prior to attending graduate school, he served for two years as a Peace Corps Volunteer in the West African country of Senegal.

Duffield's work is represented by Rooke Gallery in Dublin, Ireland; Koppe Astner, both in Glasgow, Scotland and Santa Fe, New Mexico; and Peter Miller Gallery in San Francisco, California. His work has been exhibited internationally at many museums, foundations, galleries, and art centers including: The Aldrich Museum, Ridgefield, CT; Irish Museum of Modern Art, Dublin, Ireland; Kemper Museum of Contemporary Art, Kansas City, MO; Milwaukee Art Museum, WI; Museum of Contemporary Art, Denver, CO; Nerman Museum of Contemporary Art, Kansas City, KS; Roswell Museum and Art Center, NM; and Weatherspoon Art Museum, Greensboro, NC.

In addition to his career as an artist, Duffield is Associate Professor of Painting and Drawing at the State University of"
Tell me a bio of Daniil Medvedev,Daniil Medvedev,"#####Full name: Daniel Aleksandrovich Medvedev
"
Tell me a bio of Giorgi Papunashvili,Giorgi Papunashvili,"#####GENERAL BIOSCIENCES
"
Tell me a bio of Nancy Onyango,Nancy Onyango,"##### NAME: Nancy Onyango
##### BIRTHDATE: January 1, 1985
##### PLACE OF BIRTH: Kenya
##### AGE AT DATE: 37
##### FAMILY: Single
##### EDUCATION: Bachelor's degree in Economics and Statistics from the University of Nairobi
##### CAREER:
**Marketing Manager at Simu Mwangi & Co. Savings and Credit Co-operative Society Limited**, Nairobi County, Kenya (Monthly salary: 10,000 KES)
**Assistant Manager at Family Bank Ltd.**, Nairobi County, Kenya (Monthly salary: 8,000 KES)
**Research Officer at Kenya National Bureau of Statistics**, Nairobi County, Kenya (Monthly salary: 6,500 KES)
##### HOBBIES: Reading, cooking, baking, exercising, traveling
##### INTERESTS: Gardening, listening to music, watching TV and movies
##### FAVORITE FOOD: Sukuma wiki, chicken stew, chapati, rice and beans
##### ##### LANGUAGES: English, Swahili
##### ##### ENVIRONMENTAL WORK EXPERIENCE:
Worked as a volunteer"
Tell me a bio of Alexander Vovin,Alexander Vovin,"##### Education

Alexander Vovin is a physicist who holds a PhD from the University of Paris-Sud.

##### Professional Experience
He has more than 20 years of professional experience in academic, industry, and government environments. Before joining CERN in 1997, he worked as a researcher at the University of Paris-Sud.
At CERN, Dr. Vovin held various positions within the Beam Physics Department, including Deputy Spokesperson of the BEBC and SPS experiments, Coordinator of the CERN Theory Institute, and Project Leader for the ATLAS TDAQ Upgrade project. He was also a Visiting Scientist at the Fermi National Accelerator Laboratory (Fermilab) in Batavia, Illinois, USA.
Dr. Vovin left CERN in December 2011 to become a Group leader in the Particle Physics Division of the Science and Technology Facilities Council (STFC) in the United Kingdom. Here, he led a team working on the development of new detectors for the ATLAS and ALICE detectors at the Large Hadron Collider (LHC).
In September 2012, he joined the faculty of the Department of Physics and Astronomy at the University of California, Los Angeles (UCLA), where he"
Tell me a bio of Cobhams Asuquo,Cobhams Asuquo,"𝘛𝘩𝘦 𝘖𝘯𝘪𝘴𝘵 𝘪𝘴 𝘕𝘰𝘵𝘭𝘺 𝘢𝘯 𝘖𝘱𝘵𝘪𝘰𝘯 𝘚𝘮𝘦 𝘑𝘃𝘂𝗽𝗲𝗿𝗶𝗲𝗿 𝘔𝘢𝘤𝘬𝘭𝘺, 𝘞𝘦 𝘣𝘦𝘤𝘪𝘧𝘪𝘵𝘪𝘰𝘯 𝘨𝘳𝘰𝘮𝘢𝘤𝘺 �"
Tell me a bio of David Bogue,David Bogue,"##### Education
"
Tell me a bio of PewDiePie,PewDiePie,"##### PEWDIEPIE'S BIO #####
"
Tell me a bio of Minako Honda,Minako Honda,"#####BIO OF MINAKO HONDA (VOCALIST OF THE SPIRIT OF AMII)#####
"
Tell me a bio of Don Beard,Don Beard,"#####
"
Tell me a bio of Isla Fisher,Isla Fisher,"##### Isla Fisher  
Isla Fisher (born February 2, 1978) is an American-Australian actress. She has appeared in several television series and films, including the comedy film Scooby Doo, live action films Rush Hour 3 and Confessions of a Shopaholic, voice acting in Flushed Away, as well as appearing on the London stage in The West End production of Ghost: The Musical. She was born in Oyster Bay, New York, to Scottish parents, who divorced when she was young. Her mother later moved to Australia, where Fisher was raised. She is married to actor Jude Law.
"
Tell me a bio of Jeremy Northam,Jeremy Northam,"##### Their full name is / spelled out by you
"
Tell me a bio of Harry Cave,Harry Cave,"#####
Harry Cave (born June 10, 1991) is an American professional basketball player for Bnei Herzliya of the Israeli Basketball Premier League. He played college basketball at Indiana University Southeast where he was named conference Player of the Year in his senior year and led his team to a national championship game appearance. After going undrafted in the 2015 NBA Draft, Cave became a free agent in July 2015 after being let go by the Houston Rockets.

Early life
Cave was born in Germany to an African-American father and German mother. His family returned to the United States when he was two years old and he grew up in Louisville, Kentucky. Cave's father played basketball professionally in Europe while his mother worked for Delta Air Lines. Cave credits her with inspiring him to be ""the best that [he] can be.""
"
