prompt,response,atoms,hallucinated atoms
Tell me a bio of Maja Jager,"
Maja Jager is a Swedish professional snowboarder and Olympic medalist. She was born on January 19, 1992, in Stockholm, Sweden. Jager started snowboarding at the age of seven and quickly rose through the ranks, becoming the Swedish National Snowboard Cross Champion at just 16 years old.

In 2012, Jager made her Olympic debut at the Winter Olympics in Russia, where she won a silver medal in the Women's Snowboard Cross event. She returned to the Olympics","| Maja Jager is a person.	True |
| Maja Jager is Swedish.	False |
| Maja Jager is a professional snowboarder.	False |
| Maja Jager is an Olympic medalist.	False |
| She was born on January 19, 1992.	False |
| She was born in Stockholm.	False |
| She was born in Sweden.	False |
| Jager started snowboarding at the age of seven.	False |
| Jager quickly rose through the ranks.	True |
| Jager became the Swedish National Snowboard Cross Champion.	False |
| Jager became the Swedish National Snowboard Cross Champion at 16 years old.	False |
| In 2012, Jager made her Olympic debut.	True |
| Jager made her Olympic debut at the Winter Olympics.	False |
| The Winter Olympics took place in Russia.	True |
| Jager won a silver medal.	True |
| Jager won a silver medal in the Women's Snowboard Cross event.	False |
| She returned.	True |
| She returned to the Olympics.	True |
","| Maja Jager is Swedish. |
| Maja Jager is a professional snowboarder. |
| Maja Jager is an Olympic medalist. |
| She was born on January 19, 1992. |
| She was born in Stockholm. |
| She was born in Sweden. |
| Jager started snowboarding at the age of seven. |
| Jager became the Swedish National Snowboard Cross Champion. |
| Jager became the Swedish National Snowboard Cross Champion at 16 years old. |
| Jager made her Olympic debut at the Winter Olympics. |
| Jager won a silver medal in the Women's Snowboard Cross event. |
"
Tell me a bio of Richie Dorman,"
Richie Dorman is a Canadian author, speaker, and entrepreneur who is known for his expertise in the field of digital marketing and online business strategy. He is the founder and CEO of DigitalMarketer, a leading digital marketing education and certification company that helps businesses and entrepreneurs grow their online presence and achieve their business goals through effective digital marketing strategies.

Dorman is a highly sought-after speaker and consultant in the digital marketing industry, and he has been featured in various media outlets such as","| Richie Dorman is Canadian.	False |
| Richie Dorman is an author.	False |
| Richie Dorman is a speaker.	False |
| Richie Dorman is an entrepreneur.	False |
| Richie Dorman is known for his expertise in digital marketing.	False |
| Richie Dorman is known for his expertise in online business strategy.	False |
| He is the founder.	False |
| He is the CEO.	False |
| The company is called DigitalMarketer.	False |
| DigitalMarketer is a digital marketing education and certification company.	False |
| DigitalMarketer helps businesses and entrepreneurs grow their online presence.	False |
| DigitalMarketer helps businesses and entrepreneurs achieve their business goals.	False |
| DigitalMarketer does this through effective digital marketing strategies.	False |
| DigitalMarketer is a leading company in this field.	False |
| Dorman is a highly sought-after speaker.	False |
| Dorman is a highly sought-after consultant.	False |
| Dorman is a speaker in the digital marketing industry.	False |
| Dorman is a consultant in the digital marketing industry.	False |
| Dorman has been featured in various media outlets.	True |
","| Richie Dorman is Canadian. |
| Richie Dorman is an author. |
| Richie Dorman is a speaker. |
| Richie Dorman is an entrepreneur. |
| Richie Dorman is known for his expertise in digital marketing. |
| Richie Dorman is known for his expertise in online business strategy. |
| He is the founder. |
| He is the CEO. |
| The company is called DigitalMarketer. |
| DigitalMarketer is a digital marketing education and certification company. |
| DigitalMarketer helps businesses and entrepreneurs grow their online presence. |
| DigitalMarketer helps businesses and entrepreneurs achieve their business goals. |
| DigitalMarketer does this through effective digital marketing strategies. |
| DigitalMarketer is a leading company in this field. |
| Dorman is a highly sought-after speaker. |
| Dorman is a highly sought-after consultant. |
| Dorman is a speaker in the digital marketing industry. |
| Dorman is a consultant in the digital marketing industry. |
"
Tell me a bio of Braulio Lara,"
Braulio Lara Otero, born on February 18, 1948, in San Juan, Puerto Rico, is a renowned and award-winning poet, essayist, and playwright. He is known for his critical engagement with contemporary Puerto Rican and Latinx literature, culture, and politics. Lara is a graduate of the University of Puerto Rico and the University of Iowa Writers' Workshop. He is the author of numerous books of poetry, essays, and plays, including ""La N","| Braulio Lara Otero was born on February 18, 1948.	False |
| Braulio Lara Otero was born in San Juan, Puerto Rico.	False |
| Braulio Lara Otero is a poet.	False |
| Braulio Lara Otero is an essayist.	False |
| Braulio Lara Otero is a playwright.	False |
| Braulio Lara Otero is renowned.	False |
| Braulio Lara Otero is an award-winning poet, essayist, and playwright.	False |
| He is known for his critical engagement.	False |
| He is known for his critical engagement with contemporary Puerto Rican literature.	False |
| He is known for his critical engagement with contemporary Latinx literature.	False |
| He is known for his critical engagement with contemporary Puerto Rican culture.	False |
| He is known for his critical engagement with contemporary Latinx culture.	False |
| He is known for his critical engagement with contemporary Puerto Rican politics.	False |
| He is known for his critical engagement with contemporary Latinx politics.	False |
| Lara is a graduate.	False |
| Lara is a graduate of the University of Puerto Rico.	False |
| Lara is a graduate of the University of Iowa Writers' Workshop.	False |
| He is the author.	False |
| He is the author of numerous books.	False |
| He is the author of books of poetry.	False |
| He is the author of books of essays.	False |
| He is the author of books of plays.	False |
| One of his works is ""La N"".	False |
","| Braulio Lara Otero was born on February 18, 1948. |
| Braulio Lara Otero was born in San Juan, Puerto Rico. |
| Braulio Lara Otero is a poet. |
| Braulio Lara Otero is an essayist. |
| Braulio Lara Otero is a playwright. |
| Braulio Lara Otero is renowned. |
| Braulio Lara Otero is an award-winning poet, essayist, and playwright. |
| He is known for his critical engagement. |
| He is known for his critical engagement with contemporary Puerto Rican literature. |
| He is known for his critical engagement with contemporary Latinx literature. |
| He is known for his critical engagement with contemporary Puerto Rican culture. |
| He is known for his critical engagement with contemporary Latinx culture. |
| He is known for his critical engagement with contemporary Puerto Rican politics. |
| He is known for his critical engagement with contemporary Latinx politics. |
| Lara is a graduate. |
| Lara is a graduate of the University of Puerto Rico. |
| Lara is a graduate of the University of Iowa Writers' Workshop. |
| He is the author. |
| He is the author of numerous books. |
| He is the author of books of poetry. |
| He is the author of books of essays. |
| He is the author of books of plays. |
| One of his works is ""La N"". |
"
Tell me a bio of Katherine Ryan," Sure, Katherine Ryan is a Canadian comedian and actress. She was born on December 2, 1986, in Toronto, Ontario, Canada. She began her career in comedy at the young age of 19, and quickly rose to fame for her sharp wit and relatable humor.

Ryan studied theater at the University of Windsor, but quickly realized that her true passion lay in stand-up comedy. She began performing at open mic nights and quickly gained a following for her relatable and humorous observations on","| She was born on December 2, 1986.	False |
| She was born in Toronto.	False |
| She was born in Ontario.	True |
| She was born in Canada.	True |
| She began her career in comedy.	True |
| She began her career in comedy at the young age of 19.	True |
| She quickly rose to fame.	True |
| She quickly rose to fame for her sharp wit.	True |
| She quickly rose to fame for her relatable humor.	True |
| Ryan studied theater.	False |
| Ryan studied at the University of Windsor.	False |
| Ryan realized her true passion.	True |
| Ryan's true passion lay in stand-up comedy.	True |
| She began performing at open mic nights.	True |
| She quickly gained a following.	True |
| Her observations were relatable.	True |
| Her observations were humorous.	True |
","| She was born on December 2, 1986. |
| She was born in Toronto. |
| Ryan studied theater. |
| Ryan studied at the University of Windsor. |
"
Tell me a bio of Matthew Perry," Sure, Matthew Perry is a Canadian-American actor best known for his role as Chandler Bing on the hit TV show ""Friends,"" which ran from 1994 to 2004. He was born in Vancouver, British Columbia, on August 19, 1959.

Perry began his acting career in the early '90s and gained recognition for his role in ""Friends,"" which earned him several award nominations. He has also appeared in other popular TV shows and movies, such as ""The Whole Nine Y","| He was born in Vancouver.	False |
| He was born in British Columbia.	False |
| He was born on August 19, 1959.	False |
| Perry began his acting career in the early '90s.	True |
| Perry gained recognition for his role in ""Friends.""	True |
| Perry's role in ""Friends"" earned him several award nominations.	True |
| He has appeared in other popular TV shows.	True |
| He has appeared in other popular movies.	True |
| One of the TV shows he appeared in is ""The Whole Nine Y"".	False |
","| He was born in Vancouver. |
| He was born in British Columbia. |
| He was born on August 19, 1959. |
| One of the TV shows he appeared in is ""The Whole Nine Y"". |
"
Tell me a bio of Amr Shabana,"
Amr Shabane, born on October 16, 1966, in Cairo, Egypt, is a renowned Egyptian mathematician, mathematician, and professor. He is a tenured full professor at the Department of Mathematics, Faculty of Science, at the prestigious University of Cambridge, where he has been a faculty member since 2002.

Shabane's research interests are in the fields of mathematical analysis, partial differential equations, and applied mathematics. He has made significant contributions to the study of nonlinear","| Amr Shabane was born on October 16, 1966.	False |
| Amr Shabane was born in Cairo, Egypt.	True |
| Amr Shabane is a renowned Egyptian mathematician.	False |
| Amr Shabane is a mathematician.	False |
| Amr Shabane is a professor.	False |
| He is a tenured full professor.	False |
| He is a tenured full professor at the Department of Mathematics.	False |
| He is a tenured full professor at the Faculty of Science.	False |
| The Department of Mathematics is located at the University of Cambridge.	False |
| The Faculty of Science is at the University of Cambridge.	False |
| He has been a faculty member at the University of Cambridge.	False |
| He has been a faculty member at the University of Cambridge since 2002.	False |
| Shabane has research interests.	False |
| Shabane's research interests are in the fields of mathematical analysis.	False |
| Shabane's research interests are in the fields of partial differential equations.	False |
| Shabane's research interests are in the field of applied mathematics.	False |
| He has made contributions.	True |
| The contributions are significant.	True |
| The contributions are to the study.	True |
| The study is about nonlinear.	False |
","| Amr Shabane was born on October 16, 1966. |
| Amr Shabane is a renowned Egyptian mathematician. |
| Amr Shabane is a mathematician. |
| Amr Shabane is a professor. |
| He is a tenured full professor. |
| He is a tenured full professor at the Department of Mathematics. |
| He is a tenured full professor at the Faculty of Science. |
| The Department of Mathematics is located at the University of Cambridge. |
| The Faculty of Science is at the University of Cambridge. |
| He has been a faculty member at the University of Cambridge. |
| He has been a faculty member at the University of Cambridge since 2002. |
| Shabane has research interests. |
| Shabane's research interests are in the fields of mathematical analysis. |
| Shabane's research interests are in the fields of partial differential equations. |
| Shabane's research interests are in the field of applied mathematics. |
| The study is about nonlinear. |
"
Tell me a bio of Sage Stallone,"
Sage Stallone, son of the late Sylvester Stallone, is an actor, filmmaker, and politician from the United States. He made his film debut in his father's 1982 directorial, ""Rocky III"" and has since appeared in various films, including ""Demolition Man"" (1993), ""Confessions of an Ugly Stepsister"" (1994), and ""Assassins"" (1995). Sage has also produced and written several films, including","| Sage Stallone is the son of Sylvester Stallone.	True |
| Sage Stallone is an actor.	True |
| Sage Stallone is a filmmaker.	True |
| Sage Stallone is a politician.	False |
| Sage Stallone is from the United States.	True |
| He made his film debut in his father's directorial.	True |
| His father's directorial was ""Rocky III"".	False |
| ""Rocky III"" was released in 1982.	False |
| He has appeared in various films.	True |
| One of the films he appeared in is ""Demolition Man"".	False |
| ""Demolition Man"" was released in 1993.	False |
| Another film he appeared in is ""Confessions of an Ugly Stepsister"".	True |
| ""Confessions of an Ugly Stepsister"" was released in 1994.	False |
| Another film he appeared in is ""Assassins"".	True |
| ""Assassins"" was released in 1995.	False |
| Sage is a film producer.	False |
| Sage is a film writer.	True |
| Sage has produced several films.	True |
| Sage has written several films.	True |
","| Sage Stallone is a politician. |
| His father's directorial was ""Rocky III"". |
| ""Rocky III"" was released in 1982. |
| One of the films he appeared in is ""Demolition Man"". |
| ""Demolition Man"" was released in 1993. |
| ""Confessions of an Ugly Stepsister"" was released in 1994. |
| ""Assassins"" was released in 1995. |
| Sage is a film producer. |
"
Tell me a bio of Abdulqawi Yusuf,"
Abdulqawi Yusuf (1926-2017) was a prominent Islamic scholar, jurist, and scholar of Islamic law. He was born in Baghdad, Iraq, and received a thorough education in Islamic studies, including the Islamic sciences of fiqh (jurisprudence) and hadith (prophetic traditions).

Yusuf was highly respected for his deep understanding of Islamic law and his ability to explain complex legal concepts in simple and accessible language. He was","| Abdulqawi Yusuf was born in 1926.	False |
| Abdulqawi Yusuf died in 2017.	False |
| Abdulqawi Yusuf was a prominent Islamic scholar.	False |
| Abdulqawi Yusuf was a jurist.	True |
| Abdulqawi Yusuf was a scholar of Islamic law.	False |
| He was born in Baghdad, Iraq.	False |
| He received a thorough education in Islamic studies.	False |
| The education included the Islamic sciences of fiqh (jurisprudence).	False |
| The education included the Islamic sciences of hadith (prophetic traditions).	False |
| Yusuf was highly respected.	True |
| Yusuf had a deep understanding of Islamic law.	False |
| Yusuf had the ability to explain complex legal concepts.	True |
| Yusuf had the ability to explain complex legal concepts in simple language.	True |
| Yusuf had the ability to explain complex legal concepts in accessible language.	True |
","| Abdulqawi Yusuf was born in 1926. |
| Abdulqawi Yusuf died in 2017. |
| Abdulqawi Yusuf was a prominent Islamic scholar. |
| Abdulqawi Yusuf was a scholar of Islamic law. |
| He was born in Baghdad, Iraq. |
| He received a thorough education in Islamic studies. |
| The education included the Islamic sciences of fiqh (jurisprudence). |
| The education included the Islamic sciences of hadith (prophetic traditions). |
| Yusuf had a deep understanding of Islamic law. |
"
Tell me a bio of Namita Gokhale,"
Namita Gokhale is a renowned Indian author, literary critic, and professor. She was born on September 16, 1948, in Pune, Maharashtra. Gokhale is a graduate of the University of Pune and the University of California, Berkeley. She is the author of several books of fiction, poetry, and literary criticism, including ""The Last American Marriage"" and ""The Best of Shani Ghavri."" Her writing has been translated into several languages","| Namita Gokhale is Indian.	True |
| Namita Gokhale is a renowned author.	True |
| Namita Gokhale is a literary critic.	False |
| Namita Gokhale is a professor.	False |
| She was born on September 16, 1948.	False |
| She was born in Pune.	False |
| She was born in Maharashtra.	False |
| Gokhale is a graduate.	False |
| Gokhale is a graduate of the University of Pune.	False |
| Gokhale is a graduate of the University of California, Berkeley.	False |
| She is an author.	True |
| She has written books.	True |
| She has written books of fiction.	True |
| She has written books of poetry.	False |
| She has written books of literary criticism.	False |
| She is the author of ""The Last American Marriage.""	False |
| She is the author of ""The Best of Shani Ghavri."".	False |
| She is a writer.	True |
| Her writing has been translated.	True |
| Her writing has been translated into several languages.	True |
","| Namita Gokhale is a literary critic. |
| Namita Gokhale is a professor. |
| She was born on September 16, 1948. |
| She was born in Pune. |
| She was born in Maharashtra. |
| Gokhale is a graduate. |
| Gokhale is a graduate of the University of Pune. |
| Gokhale is a graduate of the University of California, Berkeley. |
| She has written books of poetry. |
| She has written books of literary criticism. |
| She is the author of ""The Last American Marriage."" |
| She is the author of ""The Best of Shani Ghavri."". |
"
Tell me a bio of Henryk Wieniawski,"
Henryk Wieniawski (1825-1872) was a Polish violinist, conductor, and composer. He is considered one of the greatest violinists of all time and is known for his contributions to the development of the violin repertoire. Wieniawski was born in Lodz, Poland, and began studying the violin at the age of five. By the time he was 10, he was already performing professionally.

In the mid-1850s, Wienia","| Henryk Wieniawski was born in 1825 and died in 1872.	False |
| Henryk Wieniawski was Polish.	True |
| Henryk Wieniawski was a violinist.	True |
| Henryk Wieniawski was a conductor.	False |
| Henryk Wieniawski was a composer.	True |
| He is considered one of the greatest violinists of all time.	True |
| He is known for his contributions to the development of the violin repertoire.	True |
| Wieniawski was born in Lodz, Poland.	False |
| Wieniawski began studying the violin.	True |
| Wieniawski began studying the violin at the age of five.	True |
| He was 10 years old.	False |
| He was performing.	False |
| He was performing professionally.	True |
| By the time he was 10, he was already performing professionally.	True |
","| Henryk Wieniawski was born in 1825 and died in 1872. |
| Henryk Wieniawski was a conductor. |
| Wieniawski was born in Lodz, Poland. |
| He was 10 years old. |
| He was performing. |
"
