prompt,response,atoms,hallucinated atoms
Tell me a bio of Maja Jager," Maja Jager is a German politician who was elected to the Bundestag in 2017. She has served as parliamentary state secretary for family affairs and senior citizens' issues since 2022.
","| Maja Jager is a person.	True |
| Maja Jager is a German.	False |
| Maja Jager is a politician.	False |
| Maja Jager was elected to the Bundestag.	False |
| Maja Jager was elected to the Bundestag in 2017.	False |
| She has served as parliamentary state secretary.	False |
| She has served as parliamentary state secretary for family affairs.	False |
| She has served as parliamentary state secretary for senior citizens' issues.	False |
| She has served as parliamentary state secretary for family affairs and senior citizens' issues.	False |
| She has served since 2022.	False |
","| Maja Jager is a German. |
| Maja Jager is a politician. |
| Maja Jager was elected to the Bundestag. |
| Maja Jager was elected to the Bundestag in 2017. |
| She has served as parliamentary state secretary. |
| She has served as parliamentary state secretary for family affairs. |
| She has served as parliamentary state secretary for senior citizens' issues. |
| She has served as parliamentary state secretary for family affairs and senior citizens' issues. |
| She has served since 2022. |
"
Tell me a bio of Richie Dorman," Richard ""Richie"" Dorman is an American professional baseball pitcher for the San Diego Padres organization. He previously played in Major League Baseball (MLB) for the Seattle Mariners and Los Angeles Angels, both in 2021.

Dorman attended Westwood High School in Chattanooga, Tennessee, where he was named to the All-Region team as a senior after going 7–1 with a 1.40 ERA and 93 strikeouts over 61 innings pitched.[2] He committed","| Richard Dorman is also known as Richie Dorman.	True |
| Richard Dorman is American.	False |
| Richard Dorman is a professional baseball pitcher.	False |
| Richard Dorman plays for the San Diego Padres organization.	False |
| He played in Major League Baseball (MLB).	False |
| He played for the Seattle Mariners.	False |
| He played for the Seattle Mariners in 2021.	False |
| He played for the Los Angeles Angels.	False |
| He played for the Los Angeles Angels in 2021.	False |
| Dorman attended Westwood High School.	False |
| Westwood High School is located in Chattanooga, Tennessee.	False |
| He was named to the All-Region team.	False |
| He was named to the All-Region team as a senior.	False |
| He had a 7-1.40 record.	False |
| He had a 1.40 ERA.	False |
| He had 93 strikeouts.	False |
| He had 93 strikeouts over 61 innings pitched.	False |
","| Richard Dorman is American. |
| Richard Dorman is a professional baseball pitcher. |
| Richard Dorman plays for the San Diego Padres organization. |
| He played in Major League Baseball (MLB). |
| He played for the Seattle Mariners. |
| He played for the Seattle Mariners in 2021. |
| He played for the Los Angeles Angels. |
| He played for the Los Angeles Angels in 2021. |
| Dorman attended Westwood High School. |
| Westwood High School is located in Chattanooga, Tennessee. |
| He was named to the All-Region team. |
| He was named to the All-Region team as a senior. |
| He had a 7-1.40 record. |
| He had a 1.40 ERA. |
| He had 93 strikeouts. |
| He had 93 strikeouts over 61 innings pitched. |
"
Tell me a bio of Braulio Lara," Braulio Lara was born in Mexico City on November 19, 1953. He is an American-Mexican writer and journalist who has written for publications such as The New York Times Magazine, Rolling Stone, Vanity Fair, Harper's Bazaar, Esquire, and GQ.
","| Braulio Lara was born in Mexico City.	False |
| Braulio Lara was born on November 19, 1953.	False |
| He is an American-Mexican.	False |
| He is a writer.	False |
| He is a journalist.	False |
| He has written for The New York Times Magazine.	False |
| He has written for Rolling Stone.	False |
| He has written for Vanity Fair.	False |
| He has written for Harper's Bazaar.	False |
| He has written for Esquire.	False |
| He has written for GQ.	False |
","| Braulio Lara was born in Mexico City. |
| Braulio Lara was born on November 19, 1953. |
| He is an American-Mexican. |
| He is a writer. |
| He is a journalist. |
| He has written for The New York Times Magazine. |
| He has written for Rolling Stone. |
| He has written for Vanity Fair. |
| He has written for Harper's Bazaar. |
| He has written for Esquire. |
| He has written for GQ. |
"
Tell me a bio of Katherine Ryan," Katherine Ryan was born on February 13, 1988 in Dublin, Ireland. She is an actress and writer best known for her Netflix specials ""In Trouble"" (2018) and ""Glitter Room"" (2021).
","| Katherine Ryan was born on February 13, 1988.	False |
| Katherine Ryan was born in Dublin.	False |
| Katherine Ryan was born in Ireland.	False |
| She is an actress.	True |
| She is a writer.	True |
| She is best known for her Netflix specials.	True |
| One of her Netflix specials is ""In Trouble.""	True |
| ""In Trouble"" was released in 2018.	False |
| One of her Netflix specials is ""Glitter Room.""	False |
| ""Glitter Room"" was released in 2021.	False |
","| Katherine Ryan was born on February 13, 1988. |
| Katherine Ryan was born in Dublin. |
| Katherine Ryan was born in Ireland. |
| ""In Trouble"" was released in 2018. |
| One of her Netflix specials is ""Glitter Room."" |
| ""Glitter Room"" was released in 2021. |
"
Tell me a bio of Matthew Perry," Matthew Weiner was born on February 19, 1965 in Newark, New Jersey. He is an American television producer and writer best known for creating the hit show ""Mad Men"".
","| Matthew Weiner was born on February 19, 1965.	False |
| Matthew Weiner was born in Newark.	False |
| Matthew Weiner was born in New Jersey.	False |
| He is an American.	False |
| He is a television producer.	True |
| He is a writer.	True |
| He is best known for creating ""Mad Men"".	False |
| ""Mad Men"" is a hit show.	False |
","| Matthew Weiner was born on February 19, 1965. |
| Matthew Weiner was born in Newark. |
| Matthew Weiner was born in New Jersey. |
| He is an American. |
| He is best known for creating ""Mad Men"". |
| ""Mad Men"" is a hit show. |
"
Tell me a bio of Amr Shabana," Amr Shabana is an Egyptian musician, composer and percussionist. He was born in Cairo on July 10th 1954 to a family of musicians. His father, Ahmed Shabana, played the oud while his mother, Soad Hosny, sang.
","| Amr Shabana is Egyptian.	True |
| Amr Shabana is a musician.	False |
| Amr Shabana is a composer.	False |
| Amr Shabana is a percussionist.	False |
| He was born in Cairo.	True |
| He was born on July 10th, 1954.	False |
| He was born to a family of musicians.	False |
| His father's name is Ahmed Shabana.	True |
| His father played the oud.	False |
| His mother's name is Soad Hosny.	False |
| His mother sang.	False |
","| Amr Shabana is a musician. |
| Amr Shabana is a composer. |
| Amr Shabana is a percussionist. |
| He was born on July 10th, 1954. |
| He was born to a family of musicians. |
| His father played the oud. |
| His mother's name is Soad Hosny. |
| His mother sang. |
"
Tell me a bio of Sage Stallone," Sage was born on April 10, 1988 in Los Angeles. She is the younger sister to actor Sylvester Stallone and half-sister to musician Frank Stallone. Her father is an American former boxer named John David Stallone.[1]
","| Sage was born on April 10, 1988.	False |
| Sage was born in Los Angeles.	True |
| She is a younger sister.	False |
| She is the younger sister to actor Sylvester Stallone.	False |
| She is a half-sister.	False |
| She is the half-sister to musician Frank Stallone.	False |
| Her father is American.	False |
| Her father is a former boxer.	False |
| Her father's name is John David Stallone.	False |
","| Sage was born on April 10, 1988. |
| She is a younger sister. |
| She is the younger sister to actor Sylvester Stallone. |
| She is a half-sister. |
| She is the half-sister to musician Frank Stallone. |
| Her father is American. |
| Her father is a former boxer. |
| Her father's name is John David Stallone. |
"
Tell me a bio of Abdulqawi Yusuf," Abdulqawi Yusuf was born in 1871 in the village of Jabal Qarah, near Kabul. He received his early education at home and later attended the madrasa (Islamic school) of Sher Muhammad Khan Naderi. After completing his studies he became an imam (religious leader) for the Shi'ite community in Kabul.

In 1897, he traveled to India where he studied under various scholars and eventually settled in Karachi. There,","| Abdulqawi Yusuf was born in 1871.	False |
| Abdulqawi Yusuf was born in the village of Jabal Qarah.	False |
| Jabal Qarah is located near Kabul.	False |
| He received his early education at home.	False |
| He later attended the madrasa of Sher Muhammad Khan Naderi.	False |
| The madrasa is an Islamic school.	False |
| Sher Muhammad Khan Naderi is associated with the madrasa.	False |
| He completed his studies.	True |
| He became an imam.	False |
| He became an imam for the Shi'ite community.	False |
| He became an imam for the Shi'ite community in Kabul.	False |
| In 1897, he traveled to India.	False |
| He studied under various scholars.	True |
| He settled in Karachi.	False |
","| Abdulqawi Yusuf was born in 1871. |
| Abdulqawi Yusuf was born in the village of Jabal Qarah. |
| Jabal Qarah is located near Kabul. |
| He received his early education at home. |
| He later attended the madrasa of Sher Muhammad Khan Naderi. |
| The madrasa is an Islamic school. |
| Sher Muhammad Khan Naderi is associated with the madrasa. |
| He became an imam. |
| He became an imam for the Shi'ite community. |
| He became an imam for the Shi'ite community in Kabul. |
| In 1897, he traveled to India. |
| He settled in Karachi. |
"
Tell me a bio of Namita Gokhale," Namita Gokhale is an Indian novelist, editor and publisher. She was born in Kolkata on August 25, 1954 to Suresh Chandra Sen Gupta (1924–2013), who worked as a professor at the University of Calcutta.[1] Her mother's name was Indira Sen Gupta (née Sharma).[2][3]
","| Namita Gokhale is Indian.	True |
| Namita Gokhale is a novelist.	True |
| Namita Gokhale is an editor.	True |
| Namita Gokhale is a publisher.	True |
| She was born in Kolkata.	False |
| She was born on August 25, 1954.	False |
| Her father's name is Suresh Chandra Sen Gupta.	False |
| Her father worked as a professor.	False |
| Her father worked as a professor at the University of Calcutta.	False |
| Her father was born in 1924.	False |
| Her father passed away in 2013.	False |
| Her mother's name was Indira Sen Gupta.	False |
| Her mother's maiden name was Sharma.	False |
","| She was born in Kolkata. |
| She was born on August 25, 1954. |
| Her father's name is Suresh Chandra Sen Gupta. |
| Her father worked as a professor. |
| Her father worked as a professor at the University of Calcutta. |
| Her father was born in 1924. |
| Her father passed away in 2013. |
| Her mother's name was Indira Sen Gupta. |
| Her mother's maiden name was Sharma. |
"
Tell me a bio of Henryk Wieniawski," Henryk Wieniawski (Polish: [ˈxɛnʲɔf we̯niˈaʊskʲi]; French: Henri Wieniawski; Polish pronunciation: ​[ˈvjɛnwjaˈwaks] (listen); 7 March 1837 – 11 July 1861) was a Polish violinist and composer. He is considered one of the most important representatives of the Romantic style in music,","| Henryk Wieniawski was born on March 7, 1837.	False |
| Henryk Wieniawski was Polish.	True |
| Henryk Wieniawski was a violinist.	True |
| Henryk Wieniawski was a composer.	True |
| Henryk Wieniawski was also known as Henri Wieniawski in French.	True |
| Henryk Wieniawski passed away on July 11, 1861.	False |
| He is considered important.	True |
| He is considered one of the most important representatives.	True |
| He is considered one of the most important representatives of the Romantic style.	True |
| The Romantic style is a style in music.	True |
","| Henryk Wieniawski was born on March 7, 1837. |
| Henryk Wieniawski passed away on July 11, 1861. |
"
Tell me a bio of Heinrich Himmler," Heinrich Luitpold Himmler was born on July 14, 1900 in Munich. He joined the Nazi Party at age 17 and became an officer for the SS (Schutzstaffel) by 1933. In 1934 he was appointed commander of the Gestapo (Secret State Police). In 1936 he became Chief of All Concentration Camps and supervised the Holocaust which killed over 6 million Jews during World War II. After Hitler's suicide in 1945, Himmler committed suicide with his wife Marg","| Heinrich Luitpold Himmler was born on July 14, 1900.	False |
| Heinrich Luitpold Himmler was born in Munich.	True |
| He joined the Nazi Party at age 17.	False |
| He became an officer for the SS (Schutzstaffel).	True |
| He became an officer for the SS (Schutzstaffel) by 1933.	True |
| The year was 1934.	True |
| He was appointed as commander.	True |
| The organization was the Gestapo.	True |
| The Gestapo is the Secret State Police.	True |
| In 1936, he became Chief of All Concentration Camps.	True |
| He supervised the Holocaust.	True |
| The Holocaust killed over 6 million Jews.	True |
| The Holocaust occurred during World War II.	True |
| Hitler committed suicide in 1945.	True |
| Himmler committed suicide.	True |
| Himmler committed suicide with his wife Marg.	False |
","| Heinrich Luitpold Himmler was born on July 14, 1900. |
| He joined the Nazi Party at age 17. |
| Himmler committed suicide with his wife Marg. |
"
Tell me a bio of Jan-Michael Gambill," Jan Michael Gambill is an American actor and voice actor. He has played many roles in anime, video games, and other media such as ""Dante"", the main character on Devil May Cry 5.
","| Jan Michael Gambill is a person.	True |
| Jan Michael Gambill is American.	True |
| Jan Michael Gambill is an actor.	False |
| Jan Michael Gambill is a voice actor.	False |
| He has played many roles.	True |
| He has played roles in anime.	False |
| He has played roles in video games.	False |
| He has played roles in other media.	False |
| He played the role of ""Dante"".	False |
| ""Dante"" is the main character in Devil May Cry 5.	False |
","| Jan Michael Gambill is an actor. |
| Jan Michael Gambill is a voice actor. |
| He has played roles in anime. |
| He has played roles in video games. |
| He has played roles in other media. |
| He played the role of ""Dante"". |
| ""Dante"" is the main character in Devil May Cry 5. |
"
Tell me a bio of Muhammad Al-Hafiz," Muhammad al-Ḥāfīẓ (Arabic: محمد الحفيظ, romanized: Muḥammad Ḳhāfeẓ; also known as Ibn al-Muqaffaʿ) was an Arab polymath and scholar who lived in the 11th century. He is considered one of the greatest classical scholars of his time.[1][2]
","| Muhammad al-Ḥāfīẓ was an Arab.	False |
| Muhammad al-Ḥāfīẓ was a polymath.	False |
| Muhammad al-Ḥāfīẓ was a scholar.	False |
| He lived in the 11th century.	False |
| Muhammad al-Ḥāfīẓ is also known as Ibn al-Muqaffaʿ.	False |
| He is considered.	True |
| He is considered one of the greatest classical scholars.	False |
| He is considered one of the greatest classical scholars of his time.	False |
","| Muhammad al-Ḥāfīẓ was an Arab. |
| Muhammad al-Ḥāfīẓ was a polymath. |
| Muhammad al-Ḥāfīẓ was a scholar. |
| He lived in the 11th century. |
| Muhammad al-Ḥāfīẓ is also known as Ibn al-Muqaffaʿ. |
| He is considered one of the greatest classical scholars. |
| He is considered one of the greatest classical scholars of his time. |
"
"Tell me a bio of Tracy Somerset, Duchess of Beaufort"," Dame Tracy Somerset, Countess de la Zouche d'Adelaunt (Tracy Anne Somerset, DBE) is an English aristocrat and author. She was the second wife of Henry Somerset, 14th Duke of Beaufort from 1980 to his death in 2017.[1]
","| Dame Tracy Somerset is English.	True |
| Dame Tracy Somerset is an aristocrat.	True |
| Dame Tracy Somerset is an author.	False |
| Dame Tracy Somerset is also known as Countess de la Zouche d'Adelaunt.	False |
| Dame Tracy Somerset is also known as Tracy Anne Somerset.	False |
| Dame Tracy Somerset is a DBE (Dame Commander of the Order of the British Empire).	True |
| She was the second wife.	True |
| She was the second wife of Henry Somerset, 14th Duke of Beaufort.	False |
| She was the second wife of Henry Somerset, 14th Duke of Beaufort from 1980.	False |
| Henry Somerset was the 14th Duke of Beaufort.	False |
| Henry Somerset died in 2017.	False |
","| Dame Tracy Somerset is an author. |
| Dame Tracy Somerset is also known as Countess de la Zouche d'Adelaunt. |
| Dame Tracy Somerset is also known as Tracy Anne Somerset. |
| She was the second wife of Henry Somerset, 14th Duke of Beaufort. |
| She was the second wife of Henry Somerset, 14th Duke of Beaufort from 1980. |
| Henry Somerset was the 14th Duke of Beaufort. |
| Henry Somerset died in 2017. |
"
Tell me a bio of Josh Mansour," Josh Mansour is an Australian professional cricket player. He plays as a fast bowler for the Melbourne Renegades in Australia's Big Bash League (BBL).

Mansour made his debut for Victoria at age 16 and has represented Australia at Under-19 level, playing in the 2011 World Cup.[1] In 2014 he was named in Australia A's squad to play New Zealand A but did not receive a call up for the Test or ODI series due to injury. The following","| Josh Mansour is a person.	True |
| Josh Mansour is Australian.	True |
| Josh Mansour is a professional cricket player.	False |
| He plays cricket.	False |
| He plays as a fast bowler.	False |
| He plays for the Melbourne Renegades.	False |
| The Melbourne Renegades is a team.	False |
| The Melbourne Renegades play in Australia's Big Bash League (BBL).	True |
| Mansour made his debut for Victoria.	False |
| Mansour made his debut for Victoria at age 16.	False |
| Mansour has represented Australia.	True |
| Mansour has represented Australia at Under-19 level.	False |
| Mansour played in the 2011 World Cup.	False |
| In 2014, he was named in Australia A's squad.	True |
| The squad was to play New Zealand A.	False |
| He did not receive a call-up for the Test series.	True |
| He did not receive a call-up for the ODI series.	True |
| His absence from the squad was due to injury.	True |
","| Josh Mansour is a professional cricket player. |
| He plays cricket. |
| He plays as a fast bowler. |
| He plays for the Melbourne Renegades. |
| The Melbourne Renegades is a team. |
| Mansour made his debut for Victoria. |
| Mansour made his debut for Victoria at age 16. |
| Mansour has represented Australia at Under-19 level. |
| Mansour played in the 2011 World Cup. |
| The squad was to play New Zealand A. |
"
Tell me a bio of Carlos P. Romulo," Carlos P. Romulo was born in the Philippines on October 17, 1895 and passed away on February 25, 1985. He served as the Philippine Ambassador to Japan from 1950-1953 during which time he helped secure financial aid for postwar reconstruction efforts in his country. In addition to his diplomatic work, Romulo also wrote numerous books about politics, history, and culture in the Philippines.
","| Carlos P. Romulo was born in the Philippines.	True |
| Carlos P. Romulo was born on October 17, 1895.	False |
| Carlos P. Romulo passed away on February 25, 1985.	False |
| He served as the Philippine Ambassador to Japan.	False |
| He served as the Philippine Ambassador to Japan from 1950-1953.	False |
| He served as the Philippine Ambassador to Japan during which time.	False |
| He helped secure financial aid for postwar reconstruction efforts in his country.	True |
| Romulo was involved in diplomatic work.	True |
| Romulo wrote numerous books.	True |
| The books were about politics.	True |
| The books were about history.	True |
| The books were about culture.	False |
| The books were about the Philippines.	True |
","| Carlos P. Romulo was born on October 17, 1895. |
| Carlos P. Romulo passed away on February 25, 1985. |
| He served as the Philippine Ambassador to Japan. |
| He served as the Philippine Ambassador to Japan from 1950-1953. |
| He served as the Philippine Ambassador to Japan during which time. |
| The books were about culture. |
"
