prompt,response,list_name,condition,letter,list,count,list_condition,list_len,val
"List 4 planets in the solar system that contain the letter 'q'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,contain,q,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,4
"List 7 planets in the solar system that contain the letter 'r'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",Mercury; Earth; Mars; Jupiter; Saturn; Uranus; Neptune,planets in the solar system,contain,r,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",6,"['mercury', 'earth', 'mars', 'jupiter', 'saturn', 'uranus']",8,7
"List 5 planets in the solar system that contain the letter 's'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",Venus; Mars; Saturn; Uranus; Neptune,planets in the solar system,contain,s,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",4,"['venus', 'mars', 'saturn', 'uranus']",8,5
"List 8 planets in the solar system that contain the letter 't'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",Saturn; Neptune; Earth,planets in the solar system,contain,t,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",4,"['earth', 'jupiter', 'saturn', 'neptune']",8,8
"List 7 planets in the solar system that contain the letter 'u'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",Venus; Uranus; Jupiter; Neptune; Saturn; Mercury; Earth,planets in the solar system,contain,u,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",6,"['mercury', 'venus', 'jupiter', 'saturn', 'uranus', 'neptune']",8,7
"List 4 planets in the solar system that contain the letter 'v'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",Venus; Jupiter; Saturn; Neptune,planets in the solar system,contain,v,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",1,['venus'],8,4
"List 3 planets in the solar system that contain the letter 'w'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,contain,w,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,3
"List 7 planets in the solar system that contain the letter 'x'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,contain,x,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,7
"List 7 planets in the solar system that contain the letter 'y'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",Mercury; Venus; Earth; Saturn; Uranus; Neptune; no response.,planets in the solar system,contain,y,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",1,['mercury'],8,7
"List 8 planets in the solar system that contain the letter 'z'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,contain,z,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,8
"List 1 planets in the solar system that start with the letter 'a'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,start with,a,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,1
"List 8 planets in the solar system that start with the letter 'b'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,start with,b,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,8
"List 6 planets in the solar system that start with the letter 'c'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,start with,c,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,6
"List 7 planets in the solar system that start with the letter 'd'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,start with,d,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,7
"List 4 planets in the solar system that start with the letter 'e'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,start with,e,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",1,['earth'],8,4
"List 3 planets in the solar system that start with the letter 'f'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",No response.,planets in the solar system,start with,f,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,3
"List 2 planets in the solar system that start with the letter 'g'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",Earth; Mars,planets in the solar system,start with,g,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,2
"List 6 planets in the solar system that start with the letter 'h'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,start with,h,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,6
"List 7 planets in the solar system that start with the letter 'i'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",No response.,planets in the solar system,start with,i,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,7
"List 8 planets in the solar system that start with the letter 'j'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,start with,j,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",1,['jupiter'],8,8
"List 4 planets in the solar system that start with the letter 'k'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",No response.,planets in the solar system,start with,k,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,4
"List 8 planets in the solar system that start with the letter 'l'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,start with,l,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,8
"List 7 planets in the solar system that start with the letter 'm'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,start with,m,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",2,"['mercury', 'mars']",8,7
"List 8 planets in the solar system that start with the letter 'n'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",No response.,planets in the solar system,start with,n,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",1,['neptune'],8,8
"List 1 planets in the solar system that start with the letter 'o'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",Oberon,planets in the solar system,start with,o,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,1
"List 8 planets in the solar system that start with the letter 'p'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,start with,p,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,8
"List 2 planets in the solar system that start with the letter 'q'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",No response.,planets in the solar system,start with,q,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,2
"List 4 planets in the solar system that start with the letter 'r'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,start with,r,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,4
"List 8 planets in the solar system that start with the letter 's'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,start with,s,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",1,['saturn'],8,8
"List 7 planets in the solar system that start with the letter 't'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,start with,t,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,7
"List 7 planets in the solar system that start with the letter 'u'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",No response.,planets in the solar system,start with,u,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",1,['uranus'],8,7
"List 4 planets in the solar system that start with the letter 'v'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,start with,v,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",1,['venus'],8,4
"List 6 planets in the solar system that start with the letter 'w'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,start with,w,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,6
"List 8 planets in the solar system that start with the letter 'x'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,start with,x,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,8
"List 5 planets in the solar system that start with the letter 'y'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,start with,y,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,5
"List 7 planets in the solar system that start with the letter 'z'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,start with,z,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,7
"List 3 planets in the solar system that end with the letter 'a'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",Venus; Earth; Mars,planets in the solar system,end with,a,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,3
"List 4 planets in the solar system that end with the letter 'b'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,end with,b,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,4
"List 6 planets in the solar system that end with the letter 'c'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,end with,c,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,6
"List 6 planets in the solar system that end with the letter 'd'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,end with,d,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,6
"List 8 planets in the solar system that end with the letter 'e'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",No response.,planets in the solar system,end with,e,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",1,['neptune'],8,8
"List 2 planets in the solar system that end with the letter 'f'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,end with,f,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,2
"List 8 planets in the solar system that end with the letter 'g'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,end with,g,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,8
"List 4 planets in the solar system that end with the letter 'h'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,end with,h,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",1,['earth'],8,4
"List 3 planets in the solar system that end with the letter 'i'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",Mercury; no response; no response.,planets in the solar system,end with,i,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,3
"List 1 planets in the solar system that end with the letter 'j'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,end with,j,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,1
"List 3 planets in the solar system that end with the letter 'k'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",No response.,planets in the solar system,end with,k,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,3
"List 6 planets in the solar system that end with the letter 'l'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",No response.,planets in the solar system,end with,l,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,6
"List 6 planets in the solar system that end with the letter 'm'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,end with,m,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,6
"List 8 planets in the solar system that end with the letter 'n'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",Saturn; Neptune; Uran; Jupiter,planets in the solar system,end with,n,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",1,['saturn'],8,8
"List 8 planets in the solar system that end with the letter 'o'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,end with,o,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,8
"List 1 planets in the solar system that end with the letter 'p'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,end with,p,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,1
"List 6 planets in the solar system that end with the letter 'q'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,end with,q,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,6
"List 7 planets in the solar system that end with the letter 'r'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",No response.,planets in the solar system,end with,r,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",1,['jupiter'],8,7
"List 8 planets in the solar system that end with the letter 's'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",Mars; Uranus; Venus,planets in the solar system,end with,s,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",3,"['venus', 'mars', 'uranus']",8,8
"List 4 planets in the solar system that end with the letter 't'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",Mercury; Jupiter; Uranus; Neptune,planets in the solar system,end with,t,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,4
"List 6 planets in the solar system that end with the letter 'u'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,end with,u,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,6
"List 6 planets in the solar system that end with the letter 'v'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,end with,v,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,6
"List 7 planets in the solar system that end with the letter 'w'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",No response.,planets in the solar system,end with,w,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,7
"List 6 planets in the solar system that end with the letter 'x'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,end with,x,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,6
"List 7 planets in the solar system that end with the letter 'y'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",No response.,planets in the solar system,end with,y,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",1,['mercury'],8,7
"List 1 planets in the solar system that end with the letter 'z'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",no response.,planets in the solar system,end with,z,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],8,1
"List 72 elements in the periodic table that contain the letter 'a'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",Hydrogen; Helium; Beryllium; Sodium; Magnesium; Aluminum; Silicon; Phosphorus; Argon; Calcium; Scandium; Titanium; Vanadium; Chromium; Manganese; Iron; Cobalt; Nickel; Copper; Gallium; Germanium; Arsenic; Selenium; Krypton; Strontium; Zirconium; Niobium; Molybdenum; Technetium; Ruthenium; Rhodium; Palladium; Silver; Cadmium; Indium; Tin; Antimony; Tellurium; Iodine; Xenon; Barium; Lanthanum; Cerium; Praseodymium; Neodymium; Samarium; Europium; Gadolinium; Terbium; Dysprosium; Holmium; Erbium; Thulium; Ytterbium; Lutetium; Hafnium; Tantalum; Tungsten; Rhenium; Osmium; Iridium; Platinum; Gold; Thallium; Lead; Bismuth; Radium; Actinium; Thorium; Protactinium; Uranium; Neptunium; Americium.,elements in the periodic table,contain,a,"['hydrogen', 'helium', 'lithium', 'beryllium', 'boron', 'carbon', 'nitrogen', 'oxygen', 'fluorine', 'neon', 'sodium', 'magnesium', 'aluminum', 'silicon', 'phosphorus', 'sulfur', 'chlorine', 'argon', 'potassium', 'calcium', 'scandium', 'titanium', 'vanadium', 'chromium', 'manganese', 'iron', 'cobalt', 'nickel', 'copper', 'zinc', 'gallium', 'germanium', 'arsenic', 'selenium', 'bromine', 'krypton', 'rubidium', 'strontium', 'yttrium', 'zirconium', 'niobium', 'molybdenum', 'technetium', 'ruthenium', 'rhodium', 'palladium', 'silver', 'cadmium', 'indium', 'tin', 'antimony', 'tellurium', 'iodine', 'xenon', 'cesium', 'barium', 'lanthanum', 'cerium', 'praseodymium', 'neodymium', 'promethium', 'samarium', 'europium', 'gadolinium', 'terbium', 'dysprosium', 'holmium', 'erbium', 'thulium', 'ytterbium', 'lutetium', 'hafnium', 'tantalum', 'tungsten', 'rhenium', 'osmium', 'iridium', 'platinum', 'gold', 'mercury', 'thallium', 'lead', 'bismuth', 'polonium', 'astatine', 'francium', 'radium', 'actinium', 'thorium', 'protactinium', 'uranium', 'neptunium', 'plutonium', 'americium', 'curium', 'berkelium', 'californium', 'einsteinium', 'fermium', 'mendelevium', 'nobelium', 'lawrencium', 'rutherfordium', 'dubnium', 'seaborgium', 'bohrium', 'hassium', 'meitnerium', 'darmstadtium', 'roentgenium', 'copernicium', 'nihonium', 'flerovium', 'moscovium', 'livermorium', 'tennessine', 'oganesson']",40,"['carbon', 'magnesium', 'aluminum', 'argon', 'potassium', 'calcium', 'scandium', 'titanium', 'vanadium', 'manganese', 'cobalt', 'gallium', 'germanium', 'arsenic', 'palladium', 'cadmium', 'antimony', 'barium', 'lanthanum', 'praseodymium', 'samarium', 'gadolinium', 'hafnium', 'tantalum', 'platinum', 'thallium', 'lead', 'astatine', 'francium', 'radium', 'actinium', 'protactinium', 'uranium', 'americium', 'californium', 'lawrencium', 'seaborgium', 'hassium', 'darmstadtium', 'oganesson']",117,72
